,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,ALABAMA,AL,91,47.77,0,0.0,47,24.67,138,72.44,1438994
1,2000,ALASKA,AK,13,6.82,0,0.0,23,12.08,36,18.90,274393
2,2000,ARIZONA,AZ,181,95.02,10,5.25,112,58.8,303,159.07,1465656
3,2000,ARKANSAS,AR,433,227.32,0,0.0,129,67.72,562,295.04,632766
4,2000,CALIFORNIA,CA,2572,1350.3,34,17.85,60,31.5,2666,1399.65,10436607
5,2000,COLORADO,CO,160,84.0,0,0.0,84,44.1,244,128.10,1623882
6,2000,CONNECTICUT,CT,527,276.67,24,12.6,41,21.52,592,310.79,1313490
7,2000,DELAWARE,DE,19,9.97,58,30.45,54,28.35,131,68.77,313126
8,2000,FLORIDA,FL,699,366.97,145,76.12,77732,40809.3,78576,41252.39,5011220
9,2000,GEORGIA,GA,376,197.4,12,6.3,60,31.5,448,235.20,2416622
10,2000,HAWAII,HI,50,26.25,15,7.87,39,20.47,104,54.59,340424
11,2000,IDAHO,ID,37,19.42,0,0.0,18,9.45,55,28.87,492835
12,2000,ILLINOIS,IL,871,457.27,0,0.0,59,30.98,930,488.25,4393286
13,2000,INDIANA,IN,537,281.92,22,11.55,45,23.62,604,317.09,2156744
14,2000,IOWA,IA,160,84.0,0,0.0,2286,1200.15,2446,1284.15,1275934
15,2000,KANSAS,KS,311,163.27,0,0.0,34,17.85,345,181.12,1035961
16,2000,KENTUCKY,KY,267,140.17,0,0.0,47,24.67,314,164.84,1435409
17,2000,LOUISIANA,LA,84,44.1,0,0.0,92,48.3,176,92.40,1202172
18,2000,MAINE,ME,46,24.15,19,9.98,137,71.92,202,106.05,638399
19,2000,MARYLAND,MD,251,131.77,27,14.18,43,22.58,321,168.53,1926764
20,2000,MASSACHUSETTS,MA,77,40.42,11,5.78,26,13.65,114,59.85,2733972
21,2000,MICHIGAN,MI,339,177.97,301,158.02,137,71.92,777,407.91,4069660
22,2000,MINNESOTA,MN,7597,3988.42,121,63.52,292,153.3,8010,4205.24,2363738
23,2000,MISSISSIPPI,MS,104,54.6,21,11.02,42,22.05,167,87.67,986139
24,2000,MISSOURI,MO,385,202.12,280,147.0,210,110.25,875,459.37,2325788
25,2000,MONTANA,MT,135,70.87,212,111.3,28,14.7,375,196.87,410521
26,2000,NEBRASKA,NE,52,27.3,321,168.52,25,13.12,398,208.94,683071
27,2000,NEVADA,NV,121,63.52,49,25.72,198,103.95,368,193.19,586653
28,2000,NEW HAMPSHIRE,NH,136,71.4,0,0.0,553,290.32,689,361.72,556049
29,2000,NEW JERSEY,NJ,570,299.25,233,122.32,45,23.62,848,445.19,2988233
30,2000,NEW MEXICO,NM,165,86.62,30,15.75,11449,6010.72,11644,6113.09,587514
31,2000,NEW YORK,NY,632,331.8,58,30.45,29,15.22,719,377.47,6948676
32,2000,NORTH CAROLINA,NC,336,176.4,0,0.0,55,28.87,391,205.27,2779800
33,2000,NORTH DAKOTA,ND,84,44.1,31,16.27,26,13.65,141,74.02,285658
34,2000,OHIO,OH,472,247.8,33,17.32,198,103.95,703,369.07,4585038
35,2000,OKLAHOMA,OK,157,82.42,0,0.0,32,16.8,189,99.22,1087515
36,2000,OREGON,OR,137,71.92,0,0.0,1588,833.7,1725,905.62,1440002
37,2000,PENNSYLVANIA,PA,666,349.65,118,61.95,168,88.2,952,499.80,4552010
38,2000,RHODE ISLAND,RI,39,20.47,45,23.62,25,13.12,109,57.21,384272
39,2000,SOUTH CAROLINA,SC,152,79.8,0,0.0,44,23.1,196,102.90,1321312
40,2000,SOUTH DAKOTA,SD,15,7.87,0,0.0,31,16.27,46,24.14,314761
41,2000,TENNESSEE,TN,131,68.77,22,11.55,182,95.55,335,175.87,1854378
42,2000,TEXAS,TX,720,378.0,23,12.08,33,17.32,776,407.40,5985763
43,2000,UTAH,UT,99,51.97,22,11.55,18,9.45,139,72.97,758754
44,2000,VERMONT,VT,14,7.35,19,9.98,71,37.28,104,54.61,283366
45,2000,VIRGINIA,VA,326,171.15,153,80.32,88,46.2,567,297.67,2421729
46,2000,WASHINGTON,WA,433,227.32,258,135.45,126,66.15,817,428.92,2382411
47,2000,WEST VIRGINIA,WV,289,151.72,12,6.3,111,58.28,412,216.30,579872
48,2000,WISCONSIN,WI,521,273.52,28,14.7,3187,1673.18,3736,1961.40,2506314
49,2000,WYOMING,WY,19,9.97,15,7.87,18,9.45,52,27.29,212312
50,2002,ALABAMA,AL,395,207.37,41,21.52,0,0.0,436,228.89,1268802
51,2002,ALASKA,AK,13,6.82,11,5.78,0,0.0,24,12.60,227725
52,2002,ARIZONA,AZ,369,193.72,0,0.0,0,0.0,369,193.72,1194400
53,2002,ARKANSAS,AR,72,37.8,90,47.25,0,0.0,162,85.05,688276
54,2002,CALIFORNIA,CA,1157,607.42,0,0.0,0,0.0,1157,607.42,7258417
55,2002,COLORADO,CO,7161,3759.52,203,106.57,0,0.0,7364,3866.09,1397088
56,2002,CONNECTICUT,CT,217,113.92,0,0.0,0,0.0,217,113.92,989309
