,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3706,Florida 1,0.746,0.254,15,2002,FLORIDA,7.87,FL
3707,Florida 2,0.669,0.331,21,2002,FLORIDA,11.02,FL
3708,Florida 3,0.593,0.407,38,2002,FLORIDA,19.95,FL
3709,Florida 4,Uncontested,0.0,0,2002,FLORIDA,0.00,FL
3710,Florida 5,0.479,0.462,412,2002,FLORIDA,216.30,FL
3711,Florida 6,0.654,0.346,23,2002,FLORIDA,12.07,FL
3712,Florida 7,0.596,0.404,37,2002,FLORIDA,19.42,FL
3713,Florida 8,0.651,0.349,24,2002,FLORIDA,12.60,FL
3714,Florida 9,0.715,0.285,17,2002,FLORIDA,8.92,FL
3715,Florida 10,Uncontested,0.0,0,2002,FLORIDA,0.00,FL
3716,Florida 11,Uncontested,0.0,0,2002,FLORIDA,0.00,FL
3717,Florida 12,Uncontested,0.0,0,2002,FLORIDA,0.00,FL
3718,Florida 13,0.548,0.452,73,2002,FLORIDA,38.32,FL
3719,Florida 14,Uncontested,0.0,0,2002,FLORIDA,0.00,FL
3720,Florida 15,0.632,0.368,27,2002,FLORIDA,14.17,FL
3721,Florida 16,0.789,0.211,13,2002,FLORIDA,6.82,FL
3722,Florida 17,Uncontested,0.0,0,2002,FLORIDA,0.00,FL
3723,Florida 18,0.691,0.286,18,2002,FLORIDA,9.45,FL
3724,Florida 19,0.722,0.278,16,2002,FLORIDA,8.40,FL
3725,Florida 20,Uncontested,0.0,0,2002,FLORIDA,0.00,FL
3726,Florida 21,Uncontested,0.0,0,2002,FLORIDA,0.00,FL
3727,Florida 22,0.608,0.384,32,2002,FLORIDA,16.80,FL
3728,Florida 23,0.775,0.225,13,2002,FLORIDA,6.82,FL
3729,Florida 24,0.618,0.382,30,2002,FLORIDA,15.75,FL
3730,Florida 25,0.647,0.353,24,2002,FLORIDA,12.60,FL
