,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3889,Pennsylvania 1,0.8643,0.1245,10,2002,PENNSYLVANIA,5.25,PA
3890,Pennsylvania 2,0.8777,0.1223,10,2002,PENNSYLVANIA,5.25,PA
3891,Pennsylvania 3,0.7767,0.2232,13,2002,PENNSYLVANIA,6.82,PA
3892,Pennsylvania 4,0.6455,0.3544,25,2002,PENNSYLVANIA,13.12,PA
3893,Pennsylvania 5,0.8724,0.1262,10,2002,PENNSYLVANIA,5.25,PA
3894,Pennsylvania 6,0.5136,0.4863,257,2002,PENNSYLVANIA,134.92,PA
3895,Pennsylvania 7,0.6609,0.3391,22,2002,PENNSYLVANIA,11.55,PA
3896,Pennsylvania 8,0.6258,0.374,28,2002,PENNSYLVANIA,14.70,PA
3897,Pennsylvania 9,0.7102,0.2892,17,2002,PENNSYLVANIA,8.92,PA
3898,Pennsylvania 10,0.926,0.0707,9,2002,PENNSYLVANIA,4.72,PA
3899,Pennsylvania 11,0.556,0.4243,54,2002,PENNSYLVANIA,28.35,PA
3900,Pennsylvania 12,0.7348,0.2652,15,2002,PENNSYLVANIA,7.87,PA
3901,Pennsylvania 13,0.5095,0.4734,194,2002,PENNSYLVANIA,101.85,PA
3902,Pennsylvania 14,Uncontested,0.0,0,2002,PENNSYLVANIA,0.00,PA
3903,Pennsylvania 15,0.5736,0.4264,48,2002,PENNSYLVANIA,25.20,PA
3904,Pennsylvania 16,0.8845,0.0648,9,2002,PENNSYLVANIA,4.72,PA
3905,Pennsylvania 17,0.5141,0.4859,249,2002,PENNSYLVANIA,130.72,PA
3906,Pennsylvania 18,0.6014,0.3986,35,2002,PENNSYLVANIA,18.37,PA
3907,Pennsylvania 19,0.9106,0.0503,9,2002,PENNSYLVANIA,4.72,PA
