,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3447,Massachusetts 1,0.99,0.0,8,2004,MASSACHUSETTS,4.20,MA
3448,Massachusetts 2,0.987,0.0,8,2004,MASSACHUSETTS,4.20,MA
3449,Massachusetts 3,0.705,0.295,18,2004,MASSACHUSETTS,9.45,MA
3450,Massachusetts 4,0.779,0.221,13,2004,MASSACHUSETTS,6.82,MA
3451,Massachusetts 5,0.671,0.329,21,2004,MASSACHUSETTS,11.02,MA
3452,Massachusetts 6,0.7,0.3,18,2004,MASSACHUSETTS,9.45,MA
3453,Massachusetts 7,0.736,0.22,14,2004,MASSACHUSETTS,7.35,MA
3454,Massachusetts 8,0.987,0.0,8,2004,MASSACHUSETTS,4.20,MA
3455,Massachusetts 9,0.99,0.0,8,2004,MASSACHUSETTS,4.20,MA
3456,Massachusetts 10,0.659,0.341,23,2004,MASSACHUSETTS,12.07,MA
