,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3025,Illinois 1,0.841,0.159,11,2006,ILLINOIS,5.77,IL
3026,Illinois 2,0.848,0.118,10,2006,ILLINOIS,5.25,IL
3027,Illinois 3,0.771,0.229,13,2006,ILLINOIS,6.82,IL
3028,Illinois 4,0.858,0.142,10,2006,ILLINOIS,5.25,IL
3029,Illinois 5,0.78,0.22,13,2006,ILLINOIS,6.82,IL
3030,Illinois 6,0.514,0.483,226,2006,ILLINOIS,118.65,IL
3031,Illinois 7,0.867,0.133,10,2006,ILLINOIS,5.25,IL
3032,Illinois 8,0.509,0.44,102,2006,ILLINOIS,53.55,IL
3033,Illinois 9,0.746,0.254,15,2006,ILLINOIS,7.87,IL
3034,Illinois 10,0.534,0.466,103,2006,ILLINOIS,54.07,IL
3035,Illinois 11,0.551,0.449,69,2006,ILLINOIS,36.22,IL
3036,Illinois 12,Uncontested,0.0,0,2006,ILLINOIS,0.00,IL
3037,Illinois 13,0.583,0.417,43,2006,ILLINOIS,22.57,IL
3038,Illinois 14,0.598,0.402,36,2006,ILLINOIS,18.90,IL
3039,Illinois 15,0.576,0.424,47,2006,ILLINOIS,24.67,IL
3040,Illinois 16,0.636,0.321,23,2006,ILLINOIS,12.07,IL
3041,Illinois 17,0.572,0.428,49,2006,ILLINOIS,25.72,IL
3042,Illinois 18,0.673,0.327,21,2006,ILLINOIS,11.02,IL
3043,Illinois 19,0.603,0.397,34,2006,ILLINOIS,17.85,IL
