,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
2107,Texas 1,0.717,0.266,16,2012,TEXAS,8.40,TX
2108,Texas 2,0.648,0.327,22,2012,TEXAS,11.55,TX
2109,Texas 3,1,0.0,7,2012,TEXAS,3.67,TX
2110,Texas 4,0.73,0.241,15,2012,TEXAS,7.87,TX
2111,Texas 5,0.644,0.332,23,2012,TEXAS,12.07,TX
2112,Texas 6,0.58,0.392,38,2012,TEXAS,19.95,TX
2113,Texas 7,0.608,0.364,29,2012,TEXAS,15.22,TX
2114,Texas 8,0.774,0.203,13,2012,TEXAS,6.82,TX
2115,Texas 9,0.785,0.197,12,2012,TEXAS,6.30,TX
2116,Texas 10,0.606,0.362,29,2012,TEXAS,15.22,TX
2117,Texas 11,0.786,0.186,12,2012,TEXAS,6.30,TX
2118,Texas 12,0.709,0.267,16,2012,TEXAS,8.40,TX
2119,Texas 13,0.91,0.062,9,2012,TEXAS,4.72,TX
2120,Texas 14,0.535,0.446,79,2012,TEXAS,41.47,TX
2121,Texas 15,0.609,0.368,30,2012,TEXAS,15.75,TX
2122,Texas 16,0.655,0.328,22,2012,TEXAS,11.55,TX
2123,Texas 17,0.799,0.201,12,2012,TEXAS,6.30,TX
2124,Texas 18,0.75,0.226,14,2012,TEXAS,7.35,TX
2125,Texas 19,0.85,0.15,10,2012,TEXAS,5.25,TX
2126,Texas 20,0.64,0.334,23,2012,TEXAS,12.07,TX
2127,Texas 21,0.606,0.354,28,2012,TEXAS,14.70,TX
2128,Texas 22,0.641,0.319,22,2012,TEXAS,11.55,TX
2129,Texas 23,0.503,0.455,146,2012,TEXAS,76.65,TX
2130,Texas 24,0.61,0.36,28,2012,TEXAS,14.70,TX
2131,Texas 25,0.585,0.374,34,2012,TEXAS,17.85,TX
2132,Texas 26,0.683,0.286,18,2012,TEXAS,9.45,TX
2133,Texas 27,0.567,0.392,41,2012,TEXAS,21.52,TX
2134,Texas 28,0.679,0.297,19,2012,TEXAS,9.97,TX
2135,Texas 29,0.9,0.052,9,2012,TEXAS,4.72,TX
2136,Texas 30,0.789,0.19,12,2012,TEXAS,6.30,TX
2137,Texas 31,0.613,0.35,27,2012,TEXAS,14.17,TX
2138,Texas 32,0.583,0.394,38,2012,TEXAS,19.95,TX
2139,Texas 33,0.725,0.257,15,2012,TEXAS,7.87,TX
2140,Texas 34,0.622,0.359,27,2012,TEXAS,14.17,TX
2141,Texas 35,0.64,0.32,22,2012,TEXAS,11.55,TX
2142,Texas 36,0.708,0.266,16,2012,TEXAS,8.40,TX
