,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1328,Ohio 1,0.592,0.408,39,2016,OHIO,20.47,OH
1329,Ohio 2,0.65,0.328,22,2016,OHIO,11.55,OH
1330,Ohio 3,0.686,0.314,19,2016,OHIO,9.97,OH
1331,Ohio 4,0.68,0.32,20,2016,OHIO,10.50,OH
1332,Ohio 5,0.709,0.291,17,2016,OHIO,8.92,OH
1333,Ohio 6,0.707,0.293,17,2016,OHIO,8.92,OH
1334,Ohio 7,0.64,0.29,20,2016,OHIO,10.50,OH
1335,Ohio 8,0.688,0.27,17,2016,OHIO,8.92,OH
1336,Ohio 9,0.687,0.313,19,2016,OHIO,9.97,OH
1337,Ohio 10,0.641,0.327,23,2016,OHIO,12.07,OH
1338,Ohio 11,0.803,0.198,12,2016,OHIO,6.30,OH
1339,Ohio 12,0.666,0.298,20,2016,OHIO,10.50,OH
1340,Ohio 13,0.677,0.323,20,2016,OHIO,10.50,OH
1341,Ohio 14,0.626,0.374,28,2016,OHIO,14.70,OH
1342,Ohio 15,0.662,0.338,22,2016,OHIO,11.55,OH
1343,Ohio 16,0.653,0.347,23,2016,OHIO,12.07,OH
