,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
749,California 1,0.549,0.451,72,2018,CALIFORNIA,37.80,CA
750,California 2,0.77,0.23,13,2018,CALIFORNIA,6.82,CA
751,California 3,0.581,0.419,44,2018,CALIFORNIA,23.10,CA
752,California 4,0.541,0.459,86,2018,CALIFORNIA,45.15,CA
753,California 5,0.789,0.211,13,2018,CALIFORNIA,6.82,CA
754,California 6,0.804,0.196,12,2018,CALIFORNIA,6.30,CA
755,California 7,0.55,0.45,70,2018,CALIFORNIA,36.75,CA
756,California 8,0.6,0.4,36,2018,CALIFORNIA,18.90,CA
757,California 9,0.565,0.435,54,2018,CALIFORNIA,28.35,CA
758,California 10,0.523,0.477,153,2018,CALIFORNIA,80.32,CA
759,California 11,0.741,0.259,15,2018,CALIFORNIA,7.87,CA
760,California 12,0.868,0.132,10,2018,CALIFORNIA,5.25,CA
761,California 13,0.884,0.116,10,2018,CALIFORNIA,5.25,CA
762,California 14,0.792,0.208,12,2018,CALIFORNIA,6.30,CA
763,California 15,0.73,0.27,16,2018,CALIFORNIA,8.40,CA
764,California 16,0.575,0.425,47,2018,CALIFORNIA,24.67,CA
765,California 17,0.753,0.247,14,2018,CALIFORNIA,7.35,CA
766,California 18,0.745,0.255,15,2018,CALIFORNIA,7.87,CA
767,California 19,0.738,0.262,15,2018,CALIFORNIA,7.87,CA
768,California 20,0.814,0.186,12,2018,CALIFORNIA,6.30,CA
769,California 21,0.504,0.496,875,2018,CALIFORNIA,459.37,CA
770,California 22,0.527,0.473,130,2018,CALIFORNIA,68.25,CA
771,California 23,0.637,0.363,26,2018,CALIFORNIA,13.65,CA
772,California 24,0.586,0.414,41,2018,CALIFORNIA,21.52,CA
773,California 25,0.544,0.456,80,2018,CALIFORNIA,42.00,CA
774,California 26,0.619,0.381,30,2018,CALIFORNIA,15.75,CA
775,California 27,0.792,0.208,12,2018,CALIFORNIA,6.30,CA
776,California 28,0.784,0.216,13,2018,CALIFORNIA,6.82,CA
777,California 29,0.806,0.194,12,2018,CALIFORNIA,6.30,CA
778,California 30,0.734,0.266,15,2018,CALIFORNIA,7.87,CA
779,California 31,0.587,0.413,41,2018,CALIFORNIA,21.52,CA
780,California 32,0.688,0.312,19,2018,CALIFORNIA,9.97,CA
781,California 33,0.7,0.3,18,2018,CALIFORNIA,9.45,CA
782,California 34,0.725,0.275,16,2018,CALIFORNIA,8.40,CA
783,California 35,0.694,0.306,19,2018,CALIFORNIA,9.97,CA
784,California 36,0.59,0.41,39,2018,CALIFORNIA,20.47,CA
785,California 37,0.891,0.109,9,2018,CALIFORNIA,4.72,CA
786,California 38,0.689,0.311,19,2018,CALIFORNIA,9.97,CA
787,California 39,0.516,0.484,219,2018,CALIFORNIA,114.97,CA
788,California 40,0.773,0.227,13,2018,CALIFORNIA,6.82,CA
789,California 41,0.651,0.349,24,2018,CALIFORNIA,12.60,CA
790,California 42,0.565,0.435,54,2018,CALIFORNIA,28.35,CA
791,California 43,0.777,0.223,13,2018,CALIFORNIA,6.82,CA
792,California 44,0.683,0.317,20,2018,CALIFORNIA,10.50,CA
793,California 45,0.521,0.479,167,2018,CALIFORNIA,87.67,CA
794,California 46,0.691,0.309,19,2018,CALIFORNIA,9.97,CA
795,California 47,0.649,0.351,24,2018,CALIFORNIA,12.60,CA
796,California 48,0.536,0.464,98,2018,CALIFORNIA,51.45,CA
797,California 49,0.564,0.436,55,2018,CALIFORNIA,28.87,CA
798,California 50,0.517,0.483,206,2018,CALIFORNIA,108.15,CA
799,California 51,0.712,0.288,17,2018,CALIFORNIA,8.92,CA
800,California 52,0.638,0.362,26,2018,CALIFORNIA,13.65,CA
801,California 53,0.691,0.309,19,2018,CALIFORNIA,9.97,CA
