,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1072,Washington 1,0.593,0.407,38,2018,WASHINGTON,19.95,WA
1073,Washington 2,0.713,0.287,17,2018,WASHINGTON,8.92,WA
1074,Washington 3,0.527,0.473,130,2018,WASHINGTON,68.25,WA
1075,Washington 4,0.628,0.372,28,2018,WASHINGTON,14.70,WA
1076,Washington 5,0.548,0.452,73,2018,WASHINGTON,38.32,WA
1077,Washington 6,0.639,0.361,26,2018,WASHINGTON,13.65,WA
1078,Washington 7,0.836,0.164,11,2018,WASHINGTON,5.77,WA
1079,Washington 8,0.524,0.476,146,2018,WASHINGTON,76.65,WA
1080,Washington 9,0.679,0.321,20,2018,WASHINGTON,10.50,WA
1081,Washington 10,0.615,0.385,31,2018,WASHINGTON,16.27,WA
