,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
336,Virginia 1,0.56,0.43,54,2022,VIRGINIA,28.35,VA
337,Virginia 2,0.517,0.483,206,2022,VIRGINIA,108.15,VA
338,Virginia 3,0.674,0.326,21,2022,VIRGINIA,11.02,VA
339,Virginia 4,0.644,0.356,25,2022,VIRGINIA,13.12,VA
340,Virginia 5,0.577,0.423,46,2022,VIRGINIA,24.15,VA
341,Virginia 6,0.645,0.355,25,2022,VIRGINIA,13.12,VA
342,Virginia 7,0.523,0.477,153,2022,VIRGINIA,80.32,VA
343,Virginia 8,0.737,0.248,15,2022,VIRGINIA,7.87,VA
344,Virginia 9,0.734,0.266,15,2022,VIRGINIA,7.87,VA
345,Virginia 10,0.533,0.467,107,2022,VIRGINIA,56.17,VA
346,Virginia 11,0.669,0.331,21,2022,VIRGINIA,11.02,VA
