,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,DELAWARE,DE,19,9.97,0.3684210526315789
1,2002,DELAWARE,DE,16,8.40,0.4375
2,2004,DELAWARE,DE,18,9.45,0.3888888888888889
3,2006,DELAWARE,DE,39,20.47,0.1794871794871795
4,2008,DELAWARE,DE,31,16.27,0.2258064516129032
5,2010,DELAWARE,DE,45,23.62,0.1555555555555555
6,2012,DELAWARE,DE,23,12.07,0.3043478260869565
7,2014,DELAWARE,DE,32,16.80,0.21875
8,2016,DELAWARE,DE,49,25.72,0.1428571428571428
9,2018,DELAWARE,DE,25,13.12,0.28
10,2020,DELAWARE,DE,41,21.52,0.1707317073170731
11,2022,DELAWARE,DE,56,29.40,0.125
12,2024,DELAWARE,DE,45,23.62,0.1555555555555555
