,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,HAWAII,HI,50,26.25,0.14
1,2002,HAWAII,HI,59,30.97,0.1186440677966101
2,2004,HAWAII,HI,53,27.82,0.1320754716981132
3,2008,HAWAII,HI,26,13.65,0.2692307692307692
4,2010,HAWAII,HI,125,65.62,0.056
5,2012,HAWAII,HI,89,46.72,0.0786516853932584
6,2014,HAWAII,HI,197,103.42,0.0355329949238578
7,2016,HAWAII,HI,27,14.17,0.2592592592592592
8,2018,HAWAII,HI,27,14.17,0.2592592592592592
9,2020,HAWAII,HI,38,19.95,0.1842105263157894
10,2022,HAWAII,HI,42,22.05,0.1666666666666666
11,2024,HAWAII,HI,37,19.42,0.1891891891891892
