,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,KENTUCKY,KY,267,140.18,0.0262172284644194
1,2002,KENTUCKY,KY,487,255.68,0.0143737166324435
2,2004,KENTUCKY,KY,178,93.44,0.0393258426966292
3,2006,KENTUCKY,KY,503,264.06,0.0139165009940357
4,2008,KENTUCKY,KY,247,129.69,0.0283400809716599
5,2010,KENTUCKY,KY,2468,1295.6899999999998,0.002836304700162
6,2012,KENTUCKY,KY,283,148.57,0.0247349823321554
7,2014,KENTUCKY,KY,130,68.25,0.0538461538461538
8,2016,KENTUCKY,KY,91,47.77,0.0769230769230769
9,2018,KENTUCKY,KY,325,170.63,0.0215384615384615
10,2020,KENTUCKY,KY,133,69.83,0.0526315789473684
11,2022,KENTUCKY,KY,117,61.43,0.0598290598290598
12,2024,KENTUCKY,KY,102,53.57,0.0686274509803921
