,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,MASSACHUSETTS,MA,77,40.42,0.0909090909090909
1,2002,MASSACHUSETTS,MA,86,45.15,0.0813953488372093
2,2004,MASSACHUSETTS,MA,139,72.97,0.0503597122302158
3,2006,MASSACHUSETTS,MA,75,39.37,0.0933333333333333
4,2008,MASSACHUSETTS,MA,65,34.12,0.1076923076923077
5,2010,MASSACHUSETTS,MA,486,255.15,0.0144032921810699
6,2012,MASSACHUSETTS,MA,817,428.92,0.0085679314565483
7,2014,MASSACHUSETTS,MA,148,77.70,0.0472972972972973
8,2016,MASSACHUSETTS,MA,130,68.25,0.0538461538461538
9,2018,MASSACHUSETTS,MA,119,62.47,0.0588235294117647
10,2020,MASSACHUSETTS,MA,159,83.47,0.0440251572327044
11,2022,MASSACHUSETTS,MA,195,102.37,0.0358974358974358
12,2024,MASSACHUSETTS,MA,159,83.47,0.0440251572327044
