,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,MAINE,ME,46,24.15,0.1521739130434782
1,2002,MAINE,ME,201,105.52,0.0348258706467661
2,2004,MAINE,ME,75,39.370000000000005,0.0933333333333333
3,2006,MAINE,ME,42,22.05,0.1666666666666666
4,2008,MAINE,ME,93,48.81999999999999,0.075268817204301
5,2010,MAINE,ME,121,63.52,0.0578512396694214
6,2012,MAINE,ME,68,35.7,0.1029411764705882
7,2014,MAINE,ME,157,82.41999999999999,0.0445859872611464
8,2016,MAINE,ME,117,61.42,0.0598290598290598
9,2018,MAINE,ME,611,320.78000000000003,0.011456628477905
10,2020,MAINE,ME,146,76.64,0.047945205479452
11,2022,MAINE,ME,326,171.14,0.0214723926380368
12,2024,MAINE,ME,1433,752.3199999999999,0.0048848569434752
