,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,MICHIGAN,MI,339,177.97,0.0206489675516224
1,2002,MICHIGAN,MI,313,164.32,0.0223642172523961
2,2004,MICHIGAN,MI,342,179.55,0.0204678362573099
3,2006,MICHIGAN,MI,627,329.17,0.011164274322169
4,2008,MICHIGAN,MI,766,402.15,0.0091383812010443
5,2010,MICHIGAN,MI,826,433.65,0.0084745762711864
6,2012,MICHIGAN,MI,1513,794.32,0.0046265697290152
7,2014,MICHIGAN,MI,524,275.10,0.0133587786259541
8,2016,MICHIGAN,MI,434,227.85,0.0161290322580645
9,2018,MICHIGAN,MI,874,458.85,0.0080091533180778
10,2020,MICHIGAN,MI,934,490.35,0.0074946466809421
11,2022,MICHIGAN,MI,1901,998.02,0.0036822724881641
12,2024,MICHIGAN,MI,735,385.87,0.0095238095238095
