,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,MINNESOTA,MN,7597,3988.42,0.0009214163485586
1,2002,MINNESOTA,MN,224,117.60,0.03125
2,2004,MINNESOTA,MN,274,143.85,0.0255474452554744
3,2006,MINNESOTA,MN,362,190.05,0.0193370165745856
4,2008,MINNESOTA,MN,469,246.22,0.0149253731343283
5,2010,MINNESOTA,MN,774,406.35,0.0090439276485788
6,2012,MINNESOTA,MN,904,474.60,0.0077433628318584
7,2014,MINNESOTA,MN,814,427.35,0.0085995085995086
8,2016,MINNESOTA,MN,2814,1477.35,0.0024875621890547
9,2018,MINNESOTA,MN,2297,1205.92,0.0030474531998258
10,2020,MINNESOTA,MN,745,391.12,0.0093959731543624
11,2022,MINNESOTA,MN,361,189.52,0.0193905817174515
12,2024,MINNESOTA,MN,260,136.50,0.0269230769230769
