,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,MISSISSIPPI,MS,104,54.59,0.0673076923076923
1,2002,MISSISSIPPI,MS,110,57.74,0.0636363636363636
2,2004,MISSISSIPPI,MS,88,46.2,0.0795454545454545
3,2006,MISSISSIPPI,MS,70,36.75,0.1
4,2008,MISSISSIPPI,MS,129,67.73,0.0542635658914728
5,2010,MISSISSIPPI,MS,237,124.42,0.0295358649789029
6,2012,MISSISSIPPI,MS,82,43.05,0.0853658536585365
7,2014,MISSISSIPPI,MS,69,36.22,0.1014492753623188
8,2016,MISSISSIPPI,MS,76,39.91,0.0921052631578947
9,2018,MISSISSIPPI,MS,82,43.05,0.0853658536585365
10,2020,MISSISSIPPI,MS,72,37.81,0.0972222222222222
11,2022,MISSISSIPPI,MS,83,43.58,0.0843373493975903
12,2024,MISSISSIPPI,MS,70,36.76,0.1
