,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,MONTANA,MT,135,70.87,0.0518518518518518
1,2002,MONTANA,MT,22,11.55,0.3181818181818182
2,2004,MONTANA,MT,23,12.07,0.3043478260869565
3,2006,MONTANA,MT,36,18.90,0.1944444444444444
4,2008,MONTANA,MT,23,12.07,0.3043478260869565
5,2010,MONTANA,MT,27,14.17,0.2592592592592592
6,2012,MONTANA,MT,68,35.70,0.1029411764705882
7,2014,MONTANA,MT,47,24.67,0.1489361702127659
8,2016,MONTANA,MT,45,23.62,0.1555555555555555
9,2018,MONTANA,MT,149,78.22,0.046979865771812
10,2020,MONTANA,MT,55,28.87,0.1272727272727272
11,2022,MONTANA,MT,247,129.67,0.0283400809716599
