,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,NORTH DAKOTA,ND,84,44.1,0.0833333333333333
1,2002,NORTH DAKOTA,ND,146,76.65,0.047945205479452
2,2004,NORTH DAKOTA,ND,37,19.42,0.1891891891891892
3,2006,NORTH DAKOTA,ND,23,12.08,0.3043478260869565
4,2008,NORTH DAKOTA,ND,30,15.75,0.2333333333333333
5,2012,NORTH DAKOTA,ND,54,28.35,0.1296296296296296
6,2014,NORTH DAKOTA,ND,42,22.05,0.1666666666666666
7,2016,NORTH DAKOTA,ND,16,8.4,0.4375
8,2018,NORTH DAKOTA,ND,29,15.22,0.2413793103448276
9,2020,NORTH DAKOTA,ND,17,8.92,0.4117647058823529
10,2022,NORTH DAKOTA,ND,29,15.22,0.2413793103448276
11,2024,NORTH DAKOTA,ND,18,9.45,0.3888888888888889
