,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,NEBRASKA,NE,52,36.4,0.1346153846153846
1,2002,NEBRASKA,NE,43,30.1,0.1627906976744186
2,2004,NEBRASKA,NE,101,70.7,0.0693069306930693
3,2006,NEBRASKA,NE,187,130.9,0.0374331550802139
4,2008,NEBRASKA,NE,217,151.9,0.032258064516129
5,2010,NEBRASKA,NE,64,44.8,0.109375
6,2012,NEBRASKA,NE,327,228.9,0.0214067278287461
7,2014,NEBRASKA,NE,246,172.20000000000002,0.0284552845528455
8,2016,NEBRASKA,NE,609,426.3,0.0114942528735632
9,2018,NEBRASKA,NE,398,278.6,0.0175879396984924
10,2020,NEBRASKA,NE,198,138.6,0.0353535353535353
11,2022,NEBRASKA,NE,290,203.00000000000003,0.0241379310344827
12,2024,NEBRASKA,NE,436,305.2,0.0160550458715596
