,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,NEW JERSEY,NJ,570,299.25,0.0122807017543859
1,2002,NEW JERSEY,NJ,273,143.32,0.0256410256410256
2,2004,NEW JERSEY,NJ,307,161.17,0.022801302931596
3,2006,NEW JERSEY,NJ,751,394.27,0.0093209054593874
4,2008,NEW JERSEY,NJ,513,269.32,0.0136452241715399
5,2010,NEW JERSEY,NJ,648,340.20,0.0108024691358024
6,2012,NEW JERSEY,NJ,368,193.20,0.0190217391304347
7,2014,NEW JERSEY,NJ,386,202.65,0.0181347150259067
8,2016,NEW JERSEY,NJ,470,246.75,0.0148936170212765
9,2018,NEW JERSEY,NJ,1035,543.37,0.0067632850241545
10,2020,NEW JERSEY,NJ,1160,609.00,0.0060344827586206
11,2022,NEW JERSEY,NJ,658,345.45,0.0106382978723404
12,2024,NEW JERSEY,NJ,683,358.57,0.0102489019033674
