,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,NEW YORK,NY,632,331.80,0.0110759493670886
1,2002,NEW YORK,NY,888,466.20,0.0078828828828828
2,2004,NEW YORK,NY,1104,579.60,0.0063405797101449
3,2006,NEW YORK,NY,1687,885.67,0.0041493775933609
4,2008,NEW YORK,NY,1072,562.80,0.0065298507462686
5,2010,NEW YORK,NY,5322,2794.05,0.0013152950018789
6,2012,NEW YORK,NY,2118,1111.95,0.0033050047214353
7,2014,NEW YORK,NY,2476,1299.90,0.002827140549273
8,2016,NEW YORK,NY,869,456.22,0.0080552359033371
9,2018,NEW YORK,NY,3826,2008.65,0.001829587036069
10,2020,NEW YORK,NY,18441,9681.52,0.0003795889593839
11,2022,NEW YORK,NY,3652,1917.30,0.0019167579408543
12,2024,NEW YORK,NY,1651,866.77,0.0042398546335554
