,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,OHIO,OH,472,247.79,0.0148305084745762
1,2002,OHIO,OH,374,196.35,0.0187165775401069
2,2004,OHIO,OH,406,213.13,0.0172413793103448
3,2006,OHIO,OH,2658,1395.45,0.0026335590669676
4,2008,OHIO,OH,1698,891.4399999999999,0.0041224970553592
5,2010,OHIO,OH,851,446.76,0.008225616921269
6,2012,OHIO,OH,646,339.14,0.0108359133126934
7,2014,OHIO,OH,336,176.41,0.0208333333333333
8,2016,OHIO,OH,338,177.45,0.0207100591715976
9,2018,OHIO,OH,790,414.77,0.0088607594936708
10,2020,OHIO,OH,556,291.92,0.0125899280575539
11,2022,OHIO,OH,635,333.38,0.011023622047244
12,2024,OHIO,OH,1714,899.85,0.0040840140023337
