,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,OREGON,OR,137,95.9,0.0510948905109489
1,2002,OREGON,OR,156,109.2,0.0448717948717948
2,2004,OREGON,OR,180,126.0,0.0388888888888888
3,2006,OREGON,OR,151,105.7,0.0463576158940397
4,2008,OREGON,OR,99,69.3,0.0707070707070707
5,2010,OREGON,OR,284,198.8,0.0246478873239436
6,2012,OREGON,OR,157,109.9,0.0445859872611464
7,2014,OREGON,OR,144,100.8,0.0486111111111111
8,2016,OREGON,OR,174,121.8,0.0402298850574712
9,2018,OREGON,OR,180,126.0,0.0388888888888888
10,2020,OREGON,OR,306,214.2,0.022875816993464
11,2022,OREGON,OR,765,535.5,0.0091503267973856
12,2024,OREGON,OR,521,364.7,0.0134357005758157
