,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,PENNSYLVANIA,PA,666,349.65,0.0105105105105105
1,2002,PENNSYLVANIA,PA,1014,532.35,0.0069033530571992
2,2004,PENNSYLVANIA,PA,754,395.85,0.0092838196286472
3,2006,PENNSYLVANIA,PA,2458,1290.45,0.0028478437754271
4,2008,PENNSYLVANIA,PA,1190,624.75,0.0058823529411764
5,2010,PENNSYLVANIA,PA,1592,835.80,0.0043969849246231
6,2012,PENNSYLVANIA,PA,787,413.17,0.0088945362134688
7,2014,PENNSYLVANIA,PA,457,239.92,0.0153172866520787
8,2016,PENNSYLVANIA,PA,558,292.95,0.0125448028673835
9,2018,PENNSYLVANIA,PA,1206,633.15,0.005804311774461
10,2020,PENNSYLVANIA,PA,1181,620.02,0.0059271803556308
11,2022,PENNSYLVANIA,PA,1207,633.67,0.0057995028997514
12,2024,PENNSYLVANIA,PA,2191,1150.27,0.0031948881789137
