,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,TENNESSEE,TN,131,91.7,0.0534351145038167
1,2002,TENNESSEE,TN,249,174.3,0.0281124497991967
2,2004,TENNESSEE,TN,179,125.3,0.0391061452513966
3,2006,TENNESSEE,TN,179,125.3,0.0391061452513966
4,2008,TENNESSEE,TN,143,100.1,0.0489510489510489
5,2010,TENNESSEE,TN,219,153.3,0.0319634703196347
6,2012,TENNESSEE,TN,197,137.9,0.0355329949238578
7,2014,TENNESSEE,TN,171,119.7,0.0409356725146198
8,2016,TENNESSEE,TN,156,109.2,0.0448717948717948
9,2018,TENNESSEE,TN,172,120.4,0.0406976744186046
10,2020,TENNESSEE,TN,145,101.5,0.0482758620689655
11,2022,TENNESSEE,TN,204,142.79999999999998,0.034313725490196
