,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,UTAH,UT,99,51.97,0.0707070707070707
1,2002,UTAH,UT,995,522.37,0.0070351758793969
2,2004,UTAH,UT,103,54.07,0.0679611650485436
3,2006,UTAH,UT,84,44.10,0.0833333333333333
4,2008,UTAH,UT,65,34.12,0.1076923076923077
5,2010,UTAH,UT,191,100.27,0.0366492146596858
6,2012,UTAH,UT,638,334.95,0.0109717868338558
7,2014,UTAH,UT,199,104.47,0.0351758793969849
8,2016,UTAH,UT,115,60.37,0.0608695652173913
9,2018,UTAH,UT,3579,1878.97,0.0019558535903883
10,2020,UTAH,UT,768,403.20,0.0091145833333333
11,2022,UTAH,UT,95,49.87,0.0736842105263157
12,2024,UTAH,UT,97,50.92,0.0721649484536082
