,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,VERMONT,VT,14,7.35,0.5
1,2002,VERMONT,VT,22,11.55,0.3181818181818182
2,2004,VERMONT,VT,17,8.92,0.4117647058823529
3,2006,VERMONT,VT,81,42.52,0.0864197530864197
4,2008,VERMONT,VT,9,4.72,0.7777777777777778
5,2010,VERMONT,VT,22,11.55,0.3181818181818182
6,2012,VERMONT,VT,15,7.87,0.4666666666666667
7,2014,VERMONT,VT,21,11.02,0.3333333333333333
8,2016,VERMONT,VT,10,5.25,0.7
9,2020,VERMONT,VT,18,9.45,0.3888888888888889
10,2022,VERMONT,VT,21,11.02,0.3333333333333333
11,2024,VERMONT,VT,22,11.55,0.3181818181818182
