,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,WEST VIRGINIA,WV,289,202.3,0.0242214532871972
1,2002,WEST VIRGINIA,WV,53,37.1,0.1320754716981132
2,2004,WEST VIRGINIA,WV,88,61.6,0.0795454545454545
3,2006,WEST VIRGINIA,WV,93,65.1,0.075268817204301
4,2008,WEST VIRGINIA,WV,79,55.3,0.0886075949367088
5,2010,WEST VIRGINIA,WV,953,667.1,0.0073452256033578
6,2012,WEST VIRGINIA,WV,136,95.2,0.0514705882352941
7,2014,WEST VIRGINIA,WV,311,217.7,0.022508038585209
8,2016,WEST VIRGINIA,WV,78,54.6,0.0897435897435897
9,2018,WEST VIRGINIA,WV,143,100.1,0.0489510489510489
10,2020,WEST VIRGINIA,WV,63,44.1,0.1111111111111111
11,2022,WEST VIRGINIA,WV,42,29.4,0.1666666666666666
12,2024,WEST VIRGINIA,WV,35,24.5,0.2
