,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,WYOMING,WY,19,9.98,0.3684210526315789
1,2002,WYOMING,WY,29,15.22,0.2413793103448276
2,2004,WYOMING,WY,53,27.82,0.1320754716981132
3,2006,WYOMING,WY,1400,735.0,0.005
4,2008,WYOMING,WY,72,37.8,0.0972222222222222
5,2010,WYOMING,WY,16,8.4,0.4375
6,2012,WYOMING,WY,16,8.4,0.4375
7,2014,WYOMING,WY,16,8.4,0.4375
8,2016,WYOMING,WY,23,12.08,0.3043478260869565
9,2018,WYOMING,WY,21,11.02,0.3333333333333333
10,2020,WYOMING,WY,16,8.4,0.4375
11,2022,WYOMING,WY,16,8.4,0.4375
12,2024,WYOMING,WY,15,7.88,0.4666666666666667
