,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,ALABAMA,AL,91.0,47.76,0.0,0.0,47.0,24.67,138.0,72.43,47.76,1438994.0,67,17135.256,33580,50787.69,50763.016
1,2000,ALASKA,AK,13.0,6.82,0.0,0.0,23.0,12.08,36.0,18.9,6.82,274393.0,30,6192.772,33580,39791.67,39779.592
2,2000,ARIZONA,AZ,181.0,95.01,10.0,5.25,112.0,58.8,303.0,159.06,100.26,1465656.0,15,8410.224,33580,42149.28,42090.484000000004
3,2000,ARKANSAS,AR,433.0,227.32,0.0,0.0,129.0,67.72,562.0,295.03999999999996,227.32,632766.0,75,15269.064,33580,49144.1,49076.384
4,2000,CALIFORNIA,CA,2572.0,1350.27,34.0,17.85,60.0,31.5,2666.0,1399.62,1368.12,10436607.0,58,51597.148,33580,86576.77,86545.268
5,2000,COLORADO,CO,160.0,84.0,0.0,0.0,84.0,44.1,244.0,128.1,84.0,1623882.0,64,17365.288,33580,51073.39,51029.288
6,2000,CONNECTICUT,CT,527.0,276.67,24.0,12.6,41.0,21.52,592.0,310.79,289.27000000000004,1313490.0,8,6612.68,33580,40503.47,40481.95
7,2000,DELAWARE,DE,19.0,9.98,58.0,30.45,54.0,28.35,131.0,68.78,40.43,313126.0,3,1762.024,33580,35410.8,35382.454
8,2000,DISTRICT OF COLUMBIA,DC,0.0,0.0,0.0,0.0,10.0,5.25,10.0,5.25,0.0,0.0,1,169.84,33580,33755.09,33749.84
9,2000,FLORIDA,FL,699.0,366.98,145.0,76.12,77732.0,40809.3,78576.0,41252.4,443.1,5011220.0,67,31424.160000000003,33580,106256.56,65447.26
10,2000,GEORGIA,GA,376.0,197.4,12.0,6.3,60.0,31.5,448.0,235.20000000000002,203.70000000000002,2416622.0,159,36671.048,33580,70486.25,70454.748
11,2000,HAWAII,HI,50.0,26.25,15.0,7.88,39.0,20.47,104.0,54.6,34.13,340424.0,5,2210.8959999999997,33580,35845.5,35825.026
12,2000,IDAHO,ID,37.0,19.42,0.0,0.0,18.0,9.45,55.0,28.87,19.42,492835.0,44,9444.3,33580,43053.17,43043.72
13,2000,ILLINOIS,IL,871.0,457.2600000000001,0.0,0.0,59.0,30.98,930.0,488.2400000000001,457.2600000000001,4393286.0,102,34896.824,33580,68965.06,68934.08399999999
14,2000,INDIANA,IN,537.0,281.94,22.0,11.55,45.0,23.62,604.0,317.11,293.49,2156744.0,92,24252.256,33580,58149.37,58125.746
15,2000,IOWA,IA,160.0,83.99,0.0,0.0,2286.0,1200.15,2446.0,1284.14,83.99,1275934.0,99,21917.896,33580,56782.04,55581.886
16,2000,KANSAS,KS,311.0,163.27,0.0,0.0,34.0,17.85,345.0,181.12,163.27,1035961.0,105,21977.044,33580,55738.16,55720.314
17,2000,KENTUCKY,KY,267.0,140.18,0.0,0.0,47.0,24.67,314.0,164.85000000000002,140.18,1435409.0,120,26122.436,33580,59867.29,59842.616
18,2000,LOUISIANA,LA,84.0,44.120000000000005,0.0,0.0,92.0,48.3,176.0,92.42,44.120000000000005,1202172.0,64,15678.448,33580,49350.87,49302.56800000001
19,2000,MAINE,ME,46.0,24.15,19.0,9.98,137.0,71.92,202.0,106.05,34.129999999999995,638399.0,16,5271.036,33580,38957.09,38885.166
20,2000,MARYLAND,MD,251.0,131.77,27.0,14.18,43.0,22.58,321.0,168.53000000000003,145.95000000000002,1926764.0,24,11783.216,33580,45531.75,45509.166
21,2000,MASSACHUSETTS,MA,77.0,40.42,11.0,5.78,26.0,13.65,114.0,59.85,46.2,2733972.0,14,13313.648000000001,33580,46953.5,46939.848
22,2000,MICHIGAN,MI,339.0,177.99,301.0,158.02,137.0,71.92,777.0,407.93,336.01,4069660.0,83,30375.36,33580,64363.29,64291.37
23,2000,MINNESOTA,MN,7597.0,3988.42,121.0,63.52,292.0,153.3,8010.0,4205.24,4051.94,2363738.0,87,24231.032,33580,62016.27,61862.972
24,2000,MISSISSIPPI,MS,104.0,54.59,21.0,11.02,42.0,22.05,167.0,87.66,65.61,986139.0,82,17871.436,33580,51539.1,51517.046
25,2000,MISSOURI,MO,385.0,202.11,280.0,147.0,210.0,110.25,875.0,459.36,349.11,2325788.0,115,28834.752,33580,62874.11,62763.862
26,2000,MONTANA,MT,135.0,70.88,212.0,111.3,28.0,14.7,375.0,196.88,182.18,410521.0,56,11153.124000000002,33580,44930.0,44915.304000000004
27,2000,NEBRASKA,NE,52.0,27.3,321.0,168.52,25.0,13.12,398.0,208.94000000000003,195.82000000000002,683071.0,93,18527.404000000002,33580,52316.34,52303.224
28,2000,NEVADA,NV,121.0,63.52,49.0,25.72,198.0,103.95,368.0,193.19,89.24000000000001,586653.0,17,5233.892,33580,39007.08,38903.132
29,2000,NEW HAMPSHIRE,NH,136.0,71.4,0.0,0.0,553.0,290.32,689.0,361.72,71.4,556049.0,10,3922.596,33580,37864.32,37573.996
30,2000,NEW JERSEY,NJ,570.0,299.26,233.0,122.32,45.0,23.62,848.0,445.2,421.58,2988233.0,21,15519.572,33580,49544.77,49521.152
31,2000,NEW MEXICO,NM,165.0,86.62,30.0,15.75,11449.0,6010.72,11644.0,6113.09,102.37,587514.0,33,7954.776,33580,47647.87,41637.146
32,2000,NEW YORK,NY,632.0,331.8,58.0,30.45,29.0,15.22,719.0,377.47,362.25,6948676.0,62,38324.784,33580,72282.25,72267.034
33,2000,NORTH CAROLINA,NC,336.0,176.4,0.0,0.0,55.0,28.88,391.0,205.28,176.4,2779800.0,100,28103.2,33580,61888.48,61859.6
34,2000,NORTH DAKOTA,ND,84.0,44.1,31.0,16.27,26.0,13.65,141.0,74.02000000000001,60.370000000000005,285658.0,53,10144.152,33580,43798.17,43784.522000000004
35,2000,OHIO,OH,472.0,247.79,33.0,17.32,198.0,103.95,703.0,369.06,265.11,4585038.0,88,33286.072,33580,67235.13,67131.182
