state,state_po,cost_total_excl_pres
ALABAMA,AL,51582.46
ALASKA,AK,39909.88
ARIZONA,AZ,45252.9
ARKANSAS,AR,49938.6
CALIFORNIA,CA,104575.16
COLORADO,CO,54127.31
CONNECTICUT,CT,41284.28
DELAWARE,DE,35520.75
DISTRICT OF COLUMBIA,DC,34126.66
FLORIDA,FL,72993.03
GEORGIA,GA,74861.94
HAWAII,HI,36130.4
IDAHO,ID,43469.75
ILLINOIS,IL,69753.34
INDIANA,IN,58382.95
IOWA,IA,70302.26
KANSAS,KS,55762.07
KENTUCKY,KY,60556.96
LOUISIANA,LA,50432.87
MAINE,ME,39131.56
MARYLAND,MD,46762.12
MASSACHUSETTS,MA,47225.12
MICHIGAN,MI,65220.52
MINNESOTA,MN,59456.42
MISSISSIPPI,MS,51429.65
MISSOURI,MO,63065.28
MONTANA,MT,44993.77
NEBRASKA,NE,52332.39
NEVADA,NV,40305.32
NEW HAMPSHIRE,NH,37874.0
NEW JERSEY,NJ,49450.53
NEW MEXICO,NM,42180.24
NEW YORK,NY,71607.05
NORTH CAROLINA,NC,65874.77
NORTH DAKOTA,ND,43802.96
OHIO,OH,67307.47
OKLAHOMA,OK,51374.95
OREGON,OR,46679.57
PENNSYLVANIA,PA,65831.09
RHODE ISLAND,RI,36064.87
SOUTH CAROLINA,SC,48115.1
SOUTH DAKOTA,SD,46277.96
TENNESSEE,TN,58118.3
TEXAS,TX,106010.1
UTAH,UT,42505.16
VERMONT,VT,37116.97
VIRGINIA,VA,68966.29
WASHINGTON,WA,51667.78
WEST VIRGINIA,WV,45381.78
WISCONSIN,WI,56481.33
WYOMING,WY,38450.12
