state,state_po,cost_total
ALABAMA,AL,52749.14
ALASKA,AK,40086.8
ARIZONA,AZ,46451.79
ARKANSAS,AR,50264.63
CALIFORNIA,CA,133649.71
COLORADO,CO,54784.63
CONNECTICUT,CT,41364.12
DELAWARE,DE,35797.34
DISTRICT OF COLUMBIA,DC,34132.16
FLORIDA,FL,85709.93
GEORGIA,GA,76613.31
HAWAII,HI,36307.53
IDAHO,ID,43874.88
ILLINOIS,IL,72420.8
INDIANA,IN,60273.08
IOWA,IA,92421.14
KANSAS,KS,56301.89
KENTUCKY,KY,61322.68
LOUISIANA,LA,51263.64
MAINE,ME,39555.94
MARYLAND,MD,48119.54
MASSACHUSETTS,MA,48928.78
MICHIGAN,MI,68204.92
MINNESOTA,MN,61364.08
MISSISSIPPI,MS,52304.61
MISSOURI,MO,65044.85
MONTANA,MT,45243.02
NEBRASKA,NE,52879.89
NEVADA,NV,41073.23
NEW HAMPSHIRE,NH,38651.52
NEW JERSEY,NJ,51971.69
NEW MEXICO,NM,43740.0
NEW YORK,NY,77365.52
NORTH CAROLINA,NC,69052.61
NORTH DAKOTA,ND,44017.92
OHIO,OH,70395.82
OKLAHOMA,OK,52119.02
OREGON,OR,47501.17
PENNSYLVANIA,PA,69523.38
RHODE ISLAND,RI,36259.63
SOUTH CAROLINA,SC,49342.95
SOUTH DAKOTA,SD,46409.85
TENNESSEE,TN,59526.42
TEXAS,TX,111336.3
UTAH,UT,43062.69
VERMONT,VT,37271.39
VIRGINIA,VA,71390.85
WASHINGTON,WA,53092.09
WEST VIRGINIA,WV,45772.04
WISCONSIN,WI,58752.41
WYOMING,WY,38526.71
