,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,ALASKA,AK,13.0,9.1,0.0,0.0,23.0,16.1,36.0,25.200000000000003,9.1,274393.0,30,6192.772,33580,39797.97,39781.871999999996
1,2002,ALASKA,AK,13.0,9.1,11.0,7.7,0.0,0.0,24.0,16.8,16.8,227725.0,30,6006.099999999999,33580,39602.9,39602.9
2,2004,ALASKA,AK,15.0,10.5,231.0,161.7,28.0,19.6,274.0,191.79999999999998,172.2,299996.0,30,6295.183999999999,33580,40066.98,40047.384
3,2006,ALASKA,AK,43.0,30.1,0.0,0.0,0.0,0.0,43.0,30.1,30.1,234645.0,30,6033.78,33580,39643.88,39643.88
4,2008,ALASKA,AK,135.0,94.5,346.0,242.2,33.0,23.1,514.0,359.8,336.7,316978.0,30,6363.112,33580,40302.91,40279.812
5,2010,ALASKA,AK,19.0,13.3,61.0,42.7,0.0,0.0,80.0,56.0,56.0,254335.0,30,6112.54,33580,39748.54,39748.54
6,2012,ALASKA,AK,20.0,14.0,0.0,0.0,51.0,35.7,71.0,49.7,14.0,289804.0,30,6254.415999999999,33580,39884.12,39848.416
7,2014,ALASKA,AK,70.0,49.0,440.0,308.0,0.0,0.0,510.0,357.0,357.0,279741.0,30,6214.164,33580,40151.16,40151.164
8,2016,ALASKA,AK,49.0,34.3,196.0,137.2,48.0,33.6,293.0,205.1,171.5,308198.0,30,6327.992,33580,40113.09,40079.492
9,2018,ALASKA,AK,107.0,74.9,0.0,0.0,0.0,0.0,107.0,74.9,74.9,282166.0,30,6223.864,33580,39878.76,39878.764
10,2020,ALASKA,AK,77.0,53.9,56.0,39.2,70.0,49.0,203.0,142.1,93.1,353165.0,30,6507.86,33580,40229.96,40180.96
11,2022,ALASKA,AK,31.0,21.7,112.0,78.4,0.0,0.0,143.0,100.10000000000001,100.10000000000001,263610.0,30,6149.639999999999,33580,39829.74,39829.74
12,2024,ALASKA,AK,351.0,245.7,0.0,0.0,54.0,37.8,405.0,283.5,245.7,313470.0,30,6349.08,33580,40212.58,40174.78
