,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,ALABAMA,AL,91.0,47.76,0.0,0.0,47.0,24.67,138.0,72.43,47.76,1438994.0,67,17135.256,33580,50787.69,50763.016
1,2002,ALABAMA,AL,395.0,207.37,41.0,21.52,0.0,0.0,436.0,228.89000000000001,228.89000000000001,1268802.0,67,16454.488,33580,50263.38,50263.378
2,2004,ALABAMA,AL,94.0,49.35,20.0,10.5,28.0,14.7,142.0,74.55,59.85,1792759.0,67,18550.316,33580,52204.87,52190.166
3,2006,ALABAMA,AL,94.0,49.35,0.0,0.0,0.0,0.0,94.0,49.35,49.35,1140152.0,67,15939.888,33580,49569.24,49569.238
4,2008,ALABAMA,AL,1479.0,776.4799999999999,27.0,14.18,33.0,17.32,1539.0,807.9799999999999,790.6599999999999,1855268.0,67,18800.352,33580,53188.33,53171.012
5,2010,ALABAMA,AL,383.0,201.07,23.0,12.08,0.0,0.0,406.0,213.15,213.15,1367747.0,67,16850.268,33580,50643.42,50643.418
6,2012,ALABAMA,AL,121.0,63.52,0.0,0.0,32.0,16.8,153.0,80.32000000000001,63.52,1933630.0,67,19113.800000000003,33580,52774.12,52757.32
7,2014,ALABAMA,AL,88.0,46.2,8.0,4.2,0.0,0.0,96.0,50.400000000000006,50.400000000000006,1080880.0,67,15702.800000000001,33580,49333.2,49333.200000000004
8,2016,ALABAMA,AL,158.0,82.94,25.0,13.12,26.0,13.65,209.0,109.71000000000001,96.06,1889685.0,67,18938.02,33580,52627.73,52614.08
9,2018,ALABAMA,AL,127.0,66.68,0.0,0.0,0.0,0.0,127.0,66.68,66.68,1659895.0,67,18018.86,33580,51665.54,51665.54
10,2020,ALABAMA,AL,78.0,40.96,35.0,18.38,28.0,14.7,141.0,74.04,59.34,2051659.0,67,19585.916,33580,53239.96,53225.255999999994
11,2022,ALABAMA,AL,110.0,57.760000000000005,20.0,10.5,0.0,0.0,130.0,68.26,68.26,1343710.0,67,16754.120000000003,33580,50402.38,50402.380000000005
12,2024,ALABAMA,AL,142.0,74.56,0.0,0.0,23.0,12.08,165.0,86.64,74.56,2235028.0,67,20319.392,33580,53986.03,53973.952
