,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,ARKANSAS,AR,433.0,303.1,0.0,0.0,129.0,90.3,562.0,393.40000000000003,303.1,632766.0,75,15269.064,33580,49242.46,49152.164
1,2002,ARKANSAS,AR,72.0,50.4,90.0,63.0,0.0,0.0,162.0,113.4,113.4,688276.0,75,15491.104,33580,49184.5,49184.504
2,2004,ARKANSAS,AR,99.0,69.3,60.0,42.0,72.0,50.4,231.0,161.7,111.3,791241.0,75,15902.964,33580,49644.66,49594.264
3,2006,ARKANSAS,AR,97.0,67.9,0.0,0.0,0.0,0.0,97.0,67.9,67.9,763011.0,75,15790.044,33580,49437.94,49437.944
4,2008,ARKANSAS,AR,37.0,25.9,9.0,6.3,36.0,25.2,82.0,57.39999999999999,32.199999999999996,787194.0,75,15886.776,33580,49524.18,49498.975999999995
5,2010,ARKANSAS,AR,178.0,124.6,34.0,23.8,0.0,0.0,212.0,148.4,148.4,774125.0,75,15834.5,33580,49562.9,49562.9
6,2012,ARKANSAS,AR,129.0,90.3,0.0,0.0,30.0,21.0,159.0,111.3,90.3,1038054.0,75,16890.216,33580,50581.52,50560.516
7,2014,ARKANSAS,AR,183.0,128.1,47.0,32.9,0.0,0.0,230.0,161.0,161.0,830652.0,75,16060.608,33580,49801.61,49801.608
8,2016,ARKANSAS,AR,75.0,52.5,36.0,25.2,27.0,18.9,138.0,96.6,77.7,1068577.0,75,17012.308,33580,50688.91,50670.008
9,2018,ARKANSAS,AR,172.0,120.4,0.0,0.0,0.0,0.0,172.0,120.4,120.4,889298.0,75,16295.192,33580,49995.59,49995.592
10,2020,ARKANSAS,AR,111.0,77.7,22.0,15.4,26.0,18.2,159.0,111.30000000000001,93.10000000000001,1179396.0,75,17455.584,33580,51146.88,51128.684
11,2022,ARKANSAS,AR,83.0,58.1,21.0,14.7,0.0,0.0,104.0,72.8,72.8,895102.0,75,16318.408,33580,49971.21,49971.208
12,2024,ARKANSAS,AR,93.0,65.1,0.0,0.0,23.0,16.1,116.0,81.19999999999999,65.1,1156146.0,75,17362.584,33580,51023.78,51007.684
