,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,CALIFORNIA,CA,2572.0,1350.27,34.0,17.85,60.0,31.5,2666.0,1399.62,1368.12,10436607.0,58,51597.148,33580,86576.77,86545.268
1,2002,CALIFORNIA,CA,1157.0,607.46,0.0,0.0,0.0,0.0,1157.0,607.46,607.46,7258417.0,58,38884.388,33580,73071.85,73071.84800000001
2,2004,CALIFORNIA,CA,1129.0,592.72,33.0,17.32,71.0,37.28,1233.0,647.32,610.0400000000001,11623753.0,58,56345.732,33580,90573.05,90535.772
3,2006,CALIFORNIA,CA,1281.0,672.53,27.0,14.18,0.0,0.0,1308.0,686.7099999999999,686.7099999999999,8295783.0,58,43033.852,33580,77300.56,77300.562
4,2008,CALIFORNIA,CA,2808.0,1474.23,0.0,0.0,30.0,15.75,2838.0,1489.98,1474.23,12322079.0,58,59139.036,33580,94209.02,94193.26599999999
5,2010,CALIFORNIA,CA,2194.0,1151.87,60.0,31.5,0.0,0.0,2254.0,1183.37,1183.37,9648096.0,58,48443.104,33580,83206.47,83206.47399999999
6,2012,CALIFORNIA,CA,2860.0,1501.52,28.0,14.7,31.0,16.27,2919.0,1532.49,1516.22,12204357.0,58,58668.148,33580,93780.64,93764.368
7,2014,CALIFORNIA,CA,3974.0,2086.37,0.0,0.0,0.0,0.0,3974.0,2086.37,2086.37,7132421.0,58,38380.404,33580,74046.77,74046.774
8,2016,CALIFORNIA,CA,3233.0,1697.27,12.0,6.3,24.0,12.6,3269.0,1716.1699999999998,1703.57,13414018.0,58,63506.792,33580,98802.96,98790.36200000001
9,2018,CALIFORNIA,CA,3107.0,1631.18,13.0,6.82,0.0,0.0,3120.0,1638.0,1638.0,12184522.0,58,58588.808000000005,33580,93806.81,93806.808
10,2020,CALIFORNIA,CA,6865.0,3604.09,0.0,0.0,25.0,13.12,6890.0,3617.21,3604.09,16724901.0,58,76750.32400000001,33580,113947.53,113934.414
11,2022,CALIFORNIA,CA,4511.0,2368.24,32.0,16.8,0.0,0.0,4543.0,2385.04,2385.04,10656368.0,58,52476.192,33580,88441.23,88441.232
12,2024,CALIFORNIA,CA,356108.0,186956.7,40.0,21.0,35.0,18.38,356183.0,186996.08000000002,186977.7,15357876.0,58,71282.224,33580,291858.3,291839.924
