,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,COLORADO,CO,160.0,112.0,0.0,0.0,84.0,58.8,244.0,170.8,112.0,1623882.0,64,17365.288,33580,51116.09,51057.288
1,2002,COLORADO,CO,7161.0,5012.7,203.0,142.1,0.0,0.0,7364.0,5154.8,5154.8,1397088.0,64,16458.112,33580,55192.91,55192.912000000004
2,2004,COLORADO,CO,439.0,307.3,134.0,93.8,150.0,105.0,723.0,506.1,401.1,2039011.0,64,19025.804,33580,53111.9,53006.904
3,2006,COLORADO,CO,468.0,327.6,0.0,0.0,0.0,0.0,468.0,327.6,327.6,1538906.0,64,17025.384,33580,50932.98,50932.984
4,2008,COLORADO,CO,218.0,152.6,68.0,47.6,79.0,55.3,365.0,255.5,200.2,2283846.0,64,20005.144,33580,53840.64,53785.344
5,2010,COLORADO,CO,384.0,268.8,242.0,169.4,0.0,0.0,626.0,438.20000000000005,438.20000000000005,1763152.0,64,17922.368000000002,33580,51940.57,51940.568
6,2012,COLORADO,CO,416.0,291.2,0.0,0.0,131.0,91.7,547.0,382.9,291.2,2450488.0,64,20671.712,33580,54634.61,54542.912
7,2014,COLORADO,CO,309.0,216.3,1084.0,758.8,0.0,0.0,1393.0,975.0999999999999,975.0999999999999,2000525.0,64,18871.86,33580,53426.96,53426.96
8,2016,COLORADO,CO,280.0,196.0,76.0,53.2,143.0,100.1,499.0,349.29999999999995,249.2,2701438.0,64,21675.512000000002,33580,55604.81,55504.712
9,2018,COLORADO,CO,295.0,206.5,0.0,0.0,0.0,0.0,295.0,206.5,206.5,2513546.0,64,20923.944,33580,54710.44,54710.444
10,2020,COLORADO,CO,293.0,205.1,64.0,44.8,53.0,37.1,410.0,287.0,249.89999999999998,3164950.0,64,23529.559999999998,33580,57396.56,57359.46
11,2022,COLORADO,CO,4681.0,3276.7000000000003,48.0,33.6,0.0,0.0,4729.0,3310.3,3310.3,2472074.0,64,20758.056,33580,57648.36,57648.356
12,2024,COLORADO,CO,1244.0,870.8,0.0,0.0,64.0,44.8,1308.0,915.5999999999999,870.8,3105600.0,64,23292.16,33580,57787.76,57742.96000000001
