,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,CONNECTICUT,CT,527.0,276.67,24.0,12.6,41.0,21.52,592.0,310.79,289.27000000000004,1313490.0,8,6612.68,33580,40503.47,40481.95
1,2002,CONNECTICUT,CT,217.0,113.91,0.0,0.0,0.0,0.0,217.0,113.91,113.91,989309.0,8,5315.956,33580,39009.87,39009.866
2,2004,CONNECTICUT,CT,294.0,154.35,21.0,11.02,68.0,35.7,383.0,201.07,165.37,1428738.0,8,7073.6720000000005,33580,40854.74,40819.042
3,2006,CONNECTICUT,CT,17797.0,9343.42,24.0,12.6,0.0,0.0,17821.0,9356.02,9356.02,1074739.0,8,5657.676,33580,48593.7,48593.695999999996
4,2008,CONNECTICUT,CT,276.0,144.9,0.0,0.0,32.0,16.8,308.0,161.70000000000002,144.9,1527399.0,8,7468.316,33580,41210.02,41193.216
5,2010,CONNECTICUT,CT,286.0,150.15,76.0,39.9,0.0,0.0,362.0,190.05,190.05,1138202.0,8,5911.528,33580,39681.58,39681.578
6,2012,CONNECTICUT,CT,320.0,168.0,50.0,26.25,41.0,21.52,411.0,215.77,194.25,1465511.0,8,7220.764,33580,41016.53,40995.014
7,2014,CONNECTICUT,CT,264.0,138.61,0.0,0.0,0.0,0.0,264.0,138.61,138.61,1067857.0,8,5630.148,33580,39348.76,39348.758
8,2016,CONNECTICUT,CT,147.0,77.18,29.0,15.22,52.0,27.3,228.0,119.7,92.4,1575183.0,8,7659.452,33580,41359.15,41331.852
9,2018,CONNECTICUT,CT,168.0,88.2,39.0,20.47,0.0,0.0,207.0,108.67,108.67,1379808.0,8,6877.952,33580,40566.62,40566.621999999996
10,2020,CONNECTICUT,CT,186.0,97.64,0.0,0.0,35.0,18.38,221.0,116.02,97.64,1772927.0,8,8450.428,33580,42146.45,42128.068
11,2022,CONNECTICUT,CT,1026.0,538.65,47.0,24.67,0.0,0.0,1073.0,563.3199999999999,563.3199999999999,1261351.0,8,6404.124000000001,33580,40547.44,40547.444
12,2024,CONNECTICUT,CT,251.0,131.76999999999998,38.0,19.95,49.0,25.72,338.0,177.43999999999997,151.71999999999997,1727031.0,8,8266.844,33580,42024.28,41998.564
