,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,DELAWARE,DE,19.0,13.3,58.0,40.6,54.0,37.8,131.0,91.7,53.900000000000006,313126.0,3,1762.024,33580,35433.72,35395.924
1,2002,DELAWARE,DE,16.0,11.2,40.0,28.0,0.0,0.0,56.0,39.2,39.2,228405.0,3,1423.1399999999999,33580,35042.34,35042.34
2,2004,DELAWARE,DE,18.0,12.6,0.0,0.0,93.0,65.1,111.0,77.69999999999999,12.6,356045.0,3,1933.7,33580,35591.4,35526.299999999996
3,2006,DELAWARE,DE,39.0,27.3,17.0,11.9,0.0,0.0,56.0,39.2,39.2,251694.0,3,1516.2959999999998,33580,35135.5,35135.496
4,2008,DELAWARE,DE,31.0,21.7,24.0,16.8,29.0,20.3,84.0,58.8,38.5,385457.0,3,2051.348,33580,35690.15,35669.848
5,2010,DELAWARE,DE,45.0,31.5,41.0,28.7,0.0,0.0,86.0,60.2,60.2,305636.0,3,1732.064,33580,35372.26,35372.263999999996
6,2012,DELAWARE,DE,23.0,16.1,19.0,13.3,38.0,26.6,80.0,56.0,29.400000000000002,388059.0,3,2061.7560000000003,33580,35697.76,35671.156
7,2014,DELAWARE,DE,32.0,22.4,52.0,36.4,0.0,0.0,84.0,58.8,58.8,231617.0,3,1435.9879999999998,33580,35074.79,35074.788
8,2016,DELAWARE,DE,49.0,34.3,0.0,0.0,62.0,43.4,111.0,77.69999999999999,34.3,420617.0,3,2191.9880000000003,33580,35849.69,35806.288
9,2018,DELAWARE,DE,25.0,17.5,31.0,21.7,0.0,0.0,56.0,39.2,39.2,352737.0,3,1920.468,33580,35539.67,35539.668
10,2020,DELAWARE,DE,41.0,28.7,31.0,21.7,37.0,25.9,109.0,76.3,50.4,488270.0,3,2462.6,33580,36118.9,36093.0
11,2022,DELAWARE,DE,56.0,39.2,0.0,0.0,0.0,0.0,56.0,39.2,39.2,321649.0,3,1796.116,33580,35415.32,35415.316
12,2024,DELAWARE,DE,45.0,31.5,41.0,28.7,48.0,33.6,134.0,93.80000000000001,60.2,504109.0,3,2525.956,33580,36199.76,36166.155999999995
