,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,FLORIDA,FL,699.0,366.98,145.0,76.12,77732.0,40809.3,78576.0,41252.4,443.1,5011220.0,67,31424.160000000003,33580,106256.56,65447.26
1,2002,FLORIDA,FL,833.0,437.31,0.0,0.0,0.0,0.0,833.0,437.31,437.31,3766564.0,67,26445.536,33580,60462.85,60462.846
2,2004,FLORIDA,FL,394.0,206.85,630.0,330.75,140.0,73.5,1164.0,611.1,537.6,5627499.0,67,33889.276,33580,68080.38,68006.876
3,2006,FLORIDA,FL,4655.0,2443.86,32.0,16.8,0.0,0.0,4687.0,2460.6600000000003,2460.6600000000003,3851947.0,67,26787.068,33580,62827.73,62827.728
4,2008,FLORIDA,FL,989.0,519.19,0.0,0.0,249.0,130.72,1238.0,649.9100000000001,519.19,7421174.0,67,41063.976,33580,75293.89,75163.166
5,2010,FLORIDA,FL,754.0,395.82,25.0,13.12,0.0,0.0,779.0,408.94,408.94,5117811.0,67,31850.523999999998,33580,65839.46,65839.46399999999
6,2012,FLORIDA,FL,2808.0,1474.17,54.0,28.35,799.0,419.48,3661.0,1922.0,1502.52,7513536.0,67,41433.424,33580,76935.42,76515.944
7,2014,FLORIDA,FL,1374.0,721.38,0.0,0.0,0.0,0.0,1374.0,721.38,721.38,4998559.0,67,31373.516000000003,33580,65674.9,65674.89600000001
8,2016,FLORIDA,FL,1235.0,648.36,127.0,66.68,585.0,307.12,1947.0,1022.16,715.04,8837426.0,67,46728.984,33580,81331.14,81024.02399999999
9,2018,FLORIDA,FL,1393.0,731.29,5715.0,3000.37,0.0,0.0,7108.0,3731.66,3731.66,7021480.0,67,39465.2,33580,76776.86,76776.86
10,2020,FLORIDA,FL,1385.0,727.11,0.0,0.0,209.0,109.72,1594.0,836.83,727.11,10464790.0,67,53238.44,33580,87655.27,87545.55
11,2022,FLORIDA,FL,1086.0,570.14,43.0,22.58,0.0,0.0,1129.0,592.72,592.72,7332305.0,67,40708.5,33580,74881.22,74881.22
12,2024,FLORIDA,FL,1110.0,582.72,55.0,28.88,54.0,28.35,1219.0,639.95,611.6,10793163.0,67,54551.932,33580,88771.88,88743.532
