,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,GEORGIA,GA,376.0,263.2,12.0,8.4,60.0,42.0,448.0,313.59999999999997,271.59999999999997,2416622.0,159,36671.048,33580,70564.65,70522.64800000002
1,2002,GEORGIA,GA,1107.0,774.9,129.0,90.3,0.0,0.0,1236.0,865.1999999999999,865.1999999999999,1918917.0,159,34680.228,33580,69125.43,69125.428
2,2004,GEORGIA,GA,347.0,242.9,45.0,31.5,43.0,30.1,435.0,304.5,274.4,2960763.0,159,38847.612,33580,72732.11,72702.01199999999
3,2006,GEORGIA,GA,2051.0,1435.7,0.0,0.0,0.0,0.0,2051.0,1435.7,1435.7,2070191.0,159,35285.324,33580,70301.02,70301.02399999999
4,2008,GEORGIA,GA,286.0,200.2,1442.0,1009.4,135.0,94.5,1863.0,1304.1,1209.6,3654948.0,159,41624.352,33580,76508.45,76413.952
5,2010,GEORGIA,GA,560.0,392.0,43.0,30.1,0.0,0.0,603.0,422.1,422.1,2468680.0,159,36879.28,33580,70881.38,70881.38
6,2012,GEORGIA,GA,293.0,205.1,0.0,0.0,90.0,63.0,383.0,268.1,205.1,3552967.0,159,41216.428,33580,75064.53,75001.528
7,2014,GEORGIA,GA,275.0,192.5,122.0,85.4,0.0,0.0,397.0,277.9,277.9,2305665.0,159,36227.22,33580,70085.12,70085.12
8,2016,GEORGIA,GA,251.0,175.7,74.0,51.8,137.0,95.9,462.0,323.4,227.5,3772862.0,159,42096.008,33580,75999.41,75903.508
9,2018,GEORGIA,GA,5969.0,4178.3,0.0,0.0,0.0,0.0,5969.0,4178.3,4178.3,5143488.0,159,47578.512,33580,85336.81,85336.812
10,2020,GEORGIA,GA,626.0,438.2,1287.0,900.9,2972.0,2080.4,4885.0,3419.5,1339.1,4883611.0,159,46539.004,33580,83538.5,81458.104
11,2022,GEORGIA,GA,373.0,261.1,250.0,175.0,0.0,0.0,623.0,436.1,436.1,3908686.0,159,42639.304000000004,33580,76655.4,76655.40400000001
12,2024,GEORGIA,GA,333.0,233.1,0.0,0.0,319.0,223.3,652.0,456.4,233.1,5211135.0,159,47849.100000000006,33580,81885.5,81662.20000000001
