,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,HAWAII,HI,50.0,35.0,15.0,10.5,39.0,27.3,104.0,72.8,45.5,340424.0,5,2210.8959999999997,33580,35863.7,35836.396
1,2002,HAWAII,HI,59.0,41.3,0.0,0.0,0.0,0.0,59.0,41.3,41.3,359984.0,5,2289.136,33580,35910.44,35910.436
2,2004,HAWAII,HI,53.0,37.1,13.0,9.1,81.0,56.7,147.0,102.9,46.2,416570.0,5,2515.48,33580,36198.38,36141.68
3,2006,HAWAII,HI,0.0,0.0,27.0,18.9,0.0,0.0,27.0,18.9,18.9,337944.0,5,2200.976,33580,35799.88,35799.876000000004
4,2008,HAWAII,HI,26.0,18.2,0.0,0.0,16.0,11.2,42.0,29.4,18.2,456064.0,5,2673.456,33580,36282.86,36271.655999999995
5,2010,HAWAII,HI,125.0,87.5,13.0,9.1,0.0,0.0,138.0,96.6,96.6,360121.0,5,2289.684,33580,35966.28,35966.284
6,2012,HAWAII,HI,89.0,62.3,29.0,20.3,17.0,11.9,135.0,94.5,82.6,437159.0,5,2597.8360000000002,33580,36272.34,36260.436
7,2014,HAWAII,HI,197.0,137.9,17.0,11.9,0.0,0.0,214.0,149.8,149.8,369703.0,5,2328.0119999999997,33580,36057.81,36057.812000000005
8,2016,HAWAII,HI,27.0,18.9,14.0,9.8,23.0,16.1,64.0,44.8,28.7,437664.0,5,2599.8559999999998,33580,36224.66,36208.556
9,2018,HAWAII,HI,27.0,18.9,17.0,11.9,0.0,0.0,44.0,30.799999999999997,30.799999999999997,382332.0,5,2378.5280000000002,33580,35989.33,35989.328
10,2020,HAWAII,HI,38.0,26.6,0.0,0.0,24.0,16.8,62.0,43.400000000000006,26.6,579784.0,5,3168.3360000000002,33580,36791.74,36774.936
11,2022,HAWAII,HI,42.0,29.4,16.0,11.2,0.0,0.0,58.0,40.599999999999994,40.599999999999994,419363.0,5,2526.652,33580,36147.25,36147.252
12,2024,HAWAII,HI,37.0,25.9,22.0,15.4,31.0,21.7,90.0,63.0,41.3,506705.0,5,2876.02,33580,36519.02,36497.32
