,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,IOWA,IA,160.0,112.0,0.0,0.0,2286.0,1600.2,2446.0,1712.2,112.0,1275934.0,99,21917.896,33580,57210.1,55609.896
1,2002,IOWA,IA,330.0,231.0,63.0,44.1,0.0,0.0,393.0,275.1,275.1,1012622.0,99,20864.648,33580,54719.75,54719.748
2,2004,IOWA,IA,223.0,156.1,17.0,11.9,1049.0,734.3,1289.0,902.3,168.0,1458161.0,99,22646.804,33580,57129.1,56394.804000000004
3,2006,IOWA,IA,527.0,368.9,0.0,0.0,0.0,0.0,527.0,368.9,368.9,1032981.0,99,20946.084,33580,54894.98,54894.984000000004
4,2008,IOWA,IA,178.0,124.6,28.0,19.6,74.0,51.8,280.0,196.0,144.2,1481807.0,99,22741.388,33580,56517.39,56465.587999999996
5,2010,IOWA,IA,697.0,487.9,25.0,17.5,0.0,0.0,722.0,505.4,505.4,1106591.0,99,21240.523999999998,33580,55325.92,55325.924
6,2012,IOWA,IA,265.0,185.5,0.0,0.0,121.0,84.7,386.0,270.2,185.5,1536849.0,99,22961.556,33580,56811.76,56727.056
7,2014,IOWA,IA,546.0,382.2,92.0,64.4,0.0,0.0,638.0,446.6,446.6,1120334.0,99,21295.496,33580,55322.1,55322.096
8,2016,IOWA,IA,271.0,189.7,33.0,23.1,75.0,52.5,379.0,265.29999999999995,212.79999999999998,1515555.0,99,22876.38,33580,56721.68,56669.18000000001
9,2018,IOWA,IA,736.0,515.2,0.0,0.0,0.0,0.0,736.0,515.2,515.2,1316648.0,99,22080.752,33580,56175.95,56175.952
10,2020,IOWA,IA,350848.0,245593.6,163.0,114.1,86.0,60.2,351097.0,245767.90000000002,245707.7,1700268.0,99,23615.232,33580,302963.13,302902.93200000003
11,2022,IOWA,IA,1208.0,845.5999999999999,58.0,40.6,0.0,0.0,1266.0,886.1999999999999,886.1999999999999,1230416.0,99,21735.824,33580,56202.02,56202.024
12,2024,IOWA,IA,3752.0,2626.4,0.0,0.0,53.0,37.1,3805.0,2663.5,2626.4,1634297.0,99,23351.347999999998,33580,59594.85,59557.748
