,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,IDAHO,ID,37.0,19.42,0.0,0.0,18.0,9.45,55.0,28.87,19.42,492835.0,44,9444.3,33580,43053.17,43043.72
1,2002,IDAHO,ID,54.0,28.35,24.0,12.6,0.0,0.0,78.0,40.95,40.95,405023.0,44,9093.052,33580,42714.0,42714.00199999999
2,2004,IDAHO,ID,35.0,18.37,8.0,4.2,19.0,9.98,62.0,32.55,22.57,572426.0,44,9762.664,33580,43375.21,43365.234000000004
3,2006,IDAHO,ID,164.0,86.10000000000001,0.0,0.0,0.0,0.0,164.0,86.10000000000001,86.10000000000001,445306.0,44,9254.184,33580,42920.28,42920.284
4,2008,IDAHO,ID,601.0,315.52000000000004,32.0,16.8,28.0,14.7,661.0,347.02000000000004,332.32000000000005,637852.0,44,10024.368,33580,43951.39,43936.688
5,2010,IDAHO,ID,89.0,46.72,16.0,8.4,0.0,0.0,105.0,55.12,55.12,447144.0,44,9261.536,33580,42896.66,42896.656
6,2012,IDAHO,ID,46.0,24.15,0.0,0.0,22.0,11.55,68.0,35.7,24.15,635218.0,44,10013.832,33580,43629.53,43617.982
7,2014,IDAHO,ID,55.0,28.87,23.0,12.08,0.0,0.0,78.0,40.95,40.95,435157.0,44,9213.588,33580,42834.54,42834.538
8,2016,IDAHO,ID,41.0,21.52,19.0,9.98,23.0,12.08,83.0,43.58,31.5,681594.0,44,10199.336,33580,43822.92,43810.835999999996
9,2018,IDAHO,ID,55.0,28.87,0.0,0.0,0.0,0.0,55.0,28.87,28.87,595724.0,44,9855.856,33580,43464.73,43464.726
10,2020,IDAHO,ID,40.0,21.0,24.0,12.6,23.0,12.08,87.0,45.68,33.6,849909.0,44,10872.596,33580,44498.28,44486.195999999996
11,2022,IDAHO,ID,42.0,22.05,22.0,11.55,0.0,0.0,64.0,33.6,33.6,583628.0,44,9807.472,33580,43421.07,43421.072
12,2024,IDAHO,ID,40.0,21.0,0.0,0.0,20.0,10.5,60.0,31.5,21.0,880218.0,44,10993.832,33580,44605.33,44594.832
