,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,ILLINOIS,IL,871.0,457.2600000000001,0.0,0.0,59.0,30.98,930.0,488.2400000000001,457.2600000000001,4393286.0,102,34896.824,33580,68965.06,68934.08399999999
1,2002,ILLINOIS,IL,388.0,203.71,30.0,15.75,0.0,0.0,418.0,219.46,219.46,3429136.0,102,31040.224000000002,33580,64839.68,64839.684
2,2004,ILLINOIS,IL,599.0,314.48,16.0,8.4,68.0,35.7,683.0,358.58,322.88,4988665.0,102,37278.34,33580,71216.92,71181.22
3,2006,ILLINOIS,IL,835.0,438.37,0.0,0.0,0.0,0.0,835.0,438.37,438.37,3452581.0,102,31134.004,33580,65152.37,65152.374
4,2008,ILLINOIS,IL,579.0,303.97,18.0,9.45,28.0,14.7,625.0,328.12,313.42,5248195.0,102,38316.46,33580,72224.58,72209.87999999999
5,2010,ILLINOIS,IL,4312.0,2263.79,926.0,486.15,0.0,0.0,5238.0,2749.94,2749.94,3696159.0,102,32108.316,33580,68438.26,68438.256
6,2012,ILLINOIS,IL,3016.0,1583.44,0.0,0.0,42.0,22.05,3058.0,1605.49,1583.44,5058133.0,102,37556.212,33580,72741.7,72719.652
7,2014,ILLINOIS,IL,814.0,427.33,48.0,25.2,0.0,0.0,862.0,452.53,452.53,3568002.0,102,31595.688000000002,33580,65628.22,65628.21800000001
8,2016,ILLINOIS,IL,531.0,278.8,39.0,20.47,42.0,22.05,612.0,321.32,299.27,5241767.0,102,38290.748,33580,72192.07,72170.018
9,2018,ILLINOIS,IL,1493.0,783.82,0.0,0.0,0.0,0.0,1493.0,783.82,783.82,4539704.0,102,35482.496,33580,69846.32,69846.316
10,2020,ILLINOIS,IL,1146.0,601.67,41.0,21.52,42.0,22.05,1229.0,645.2399999999999,623.1899999999999,5876819.0,102,40830.956000000006,33580,75056.2,75034.14600000001
11,2022,ILLINOIS,IL,699.0,366.97,46.0,24.15,0.0,0.0,745.0,391.12,391.12,4049405.0,102,33521.3,33580,67492.42,67492.42
12,2024,ILLINOIS,IL,618.0,324.47,0.0,0.0,64.0,33.6,682.0,358.07000000000005,324.47,5479764.0,102,39242.736000000004,33580,73180.81,73147.206
