,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,INDIANA,IN,537.0,375.9,22.0,15.4,45.0,31.5,604.0,422.79999999999995,391.29999999999995,2156744.0,92,24252.256,33580,58255.06,58223.556000000004
1,2002,INDIANA,IN,602.0,421.4,0.0,0.0,0.0,0.0,602.0,421.4,421.4,1521353.0,92,21710.692000000003,33580,55712.09,55712.092000000004
2,2004,INDIANA,IN,2061.0,1442.7,28.0,19.6,34.0,23.8,2123.0,1486.1,1462.3,2416251.0,92,25290.284,33580,60356.38,60332.584
3,2006,INDIANA,IN,554.0,387.8,10.0,7.0,0.0,0.0,564.0,394.8,394.8,1666922.0,92,22292.968,33580,56267.77,56267.768000000004
4,2008,INDIANA,IN,249.0,174.3,0.0,0.0,679.0,475.3,928.0,649.6,174.3,2676850.0,92,26332.68,33580,60562.28,60086.98
5,2010,INDIANA,IN,757.0,529.9,77.0,53.9,0.0,0.0,834.0,583.8,583.8,1747720.0,92,22616.16,33580,56779.96,56779.96000000001
6,2012,INDIANA,IN,784.0,548.8,62.0,43.4,69.0,48.3,915.0,640.4999999999999,592.1999999999999,2553746.0,92,25840.264000000003,33580,60060.76,60012.464
7,2014,INDIANA,IN,251.0,175.7,0.0,0.0,0.0,0.0,251.0,175.7,175.7,1341814.0,92,20992.536,33580,54748.24,54748.236
8,2016,INDIANA,IN,226.0,158.2,166.0,116.2,37.0,25.9,429.0,300.29999999999995,274.4,2658367.0,92,26258.748,33580,60139.05,60113.148
9,2018,INDIANA,IN,324.0,226.8,477.0,333.9,0.0,0.0,801.0,560.7,560.7,2256149.0,92,24649.876,33580,58790.58,58790.576
10,2020,INDIANA,IN,385.0,269.5,0.0,0.0,44.0,30.8,429.0,300.3,269.5,2996444.0,92,27611.056,33580,61491.36,61460.556
11,2022,INDIANA,IN,304.0,212.8,34.0,23.8,0.0,0.0,338.0,236.60000000000002,236.60000000000002,1856549.0,92,23051.476000000002,33580,56868.08,56868.076
12,2024,INDIANA,IN,270.0,189.0,35.0,24.5,38.0,26.6,343.0,240.1,213.5,2900315.0,92,27226.54,33580,61046.64,61020.04
