,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,KANSAS,KS,311.0,217.7,0.0,0.0,34.0,23.8,345.0,241.5,217.7,1035961.0,105,21977.044,33580,55798.54,55774.744
1,2002,KANSAS,KS,283.0,198.1,10.0,7.0,0.0,0.0,293.0,205.1,205.1,829890.0,105,21152.760000000002,33580,54937.86,54937.86
2,2004,KANSAS,KS,137.0,95.9,18.0,12.6,28.0,19.6,183.0,128.1,108.5,1156383.0,105,22458.732,33580,56166.83,56147.232
3,2006,KANSAS,KS,259.0,181.3,0.0,0.0,0.0,0.0,259.0,181.3,181.3,845127.0,105,21213.708,33580,54975.01,54975.008
4,2008,KANSAS,KS,236.0,165.2,33.0,23.1,47.0,32.9,316.0,221.2,188.29999999999998,1208302.0,105,22666.408,33580,56467.61,56434.708
5,2010,KANSAS,KS,105.0,73.5,17.0,11.9,0.0,0.0,122.0,85.4,85.4,835529.0,105,21175.316,33580,54840.72,54840.716
6,2012,KANSAS,KS,81.0,56.7,0.0,0.0,33.0,23.1,114.0,79.80000000000001,56.7,1057739.0,105,22064.156000000003,33580,55723.96,55700.856
7,2014,KANSAS,KS,115.0,80.5,15.0,10.5,0.0,0.0,130.0,91.0,91.0,862077.0,105,21281.508,33580,54952.51,54952.508
8,2016,KANSAS,KS,132.0,92.4,29.0,20.3,34.0,23.8,195.0,136.5,112.7,1173736.0,105,22528.144,33580,56244.64,56220.844
9,2018,KANSAS,KS,1007.0,704.9000000000001,0.0,0.0,0.0,0.0,1007.0,704.9000000000001,704.9000000000001,1050322.0,105,22034.488,33580,56319.39,56319.388
10,2020,KANSAS,KS,161.0,112.7,109.0,76.3,48.0,33.6,318.0,222.6,189.0,1358953.0,105,23269.012000000002,33580,57071.61,57038.012
11,2022,KANSAS,KS,152.0,106.4,31.0,21.7,0.0,0.0,183.0,128.1,128.1,1001817.0,105,21840.468,33580,55548.57,55548.568
12,2024,KANSAS,KS,146.0,102.2,0.0,0.0,44.0,30.8,190.0,133.0,102.2,1273453.0,105,22927.012000000002,33580,56640.01,56609.212
