,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,KENTUCKY,KY,267.0,140.18,0.0,0.0,47.0,24.67,314.0,164.85000000000002,140.18,1435409.0,120,26122.436,33580,59867.29,59842.616
1,2002,KENTUCKY,KY,487.0,255.68,24.0,12.6,0.0,0.0,511.0,268.28000000000003,268.28000000000003,1094242.0,120,24757.768,33580,58606.05,58606.047999999995
2,2004,KENTUCKY,KY,178.0,93.44,533.0,279.82,36.0,18.9,747.0,392.15999999999997,373.26,1635243.0,120,26921.771999999997,33580,60893.93,60875.032
3,2006,KENTUCKY,KY,503.0,264.06,0.0,0.0,0.0,0.0,503.0,264.06,264.06,1253526.0,120,25394.904,33580,59238.96,59238.96399999999
4,2008,KENTUCKY,KY,247.0,129.69,119.0,62.47,44.0,23.1,410.0,215.26,192.16,1749840.0,120,27380.16,33580,61175.42,61152.32000000001
5,2010,KENTUCKY,KY,2468.0,1295.6899999999998,61.0,32.02,0.0,0.0,2529.0,1327.7099999999998,1327.7099999999998,1354298.0,120,25797.992,33580,60705.7,60705.702
6,2012,KENTUCKY,KY,283.0,148.57,0.0,0.0,31.0,16.27,314.0,164.84,148.57,1745377.0,120,27362.307999999997,33580,61107.15,61090.878
7,2014,KENTUCKY,KY,130.0,68.25,57.0,29.92,0.0,0.0,187.0,98.17,98.17,1397626.0,120,25971.304,33580,59649.47,59649.474
8,2016,KENTUCKY,KY,91.0,47.77,49.0,25.72,24.0,12.6,164.0,86.09,73.49000000000001,1765376.0,120,27442.304,33580,61108.39,61095.794
9,2018,KENTUCKY,KY,325.0,170.63,0.0,0.0,0.0,0.0,325.0,170.63,170.63,1569798.0,120,26659.992,33580,60410.62,60410.621999999996
10,2020,KENTUCKY,KY,133.0,69.83,46.0,24.15,27.0,14.18,206.0,108.16,93.97999999999999,2115895.0,120,28844.379999999997,33580,62532.54,62518.36
11,2022,KENTUCKY,KY,117.0,61.43,30.0,15.75,0.0,0.0,147.0,77.18,77.18,1463418.0,120,26234.471999999998,33580,59891.65,59891.651999999995
12,2024,KENTUCKY,KY,102.0,53.57,0.0,0.0,23.0,12.08,125.0,65.65,53.57,2037151.0,120,28529.404,33580,62175.05,62162.973999999995
