,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,LOUISIANA,LA,84.0,58.8,0.0,0.0,92.0,64.4,176.0,123.2,58.8,1202172.0,64,15678.448,33580,49381.65,49317.24800000001
1,2002,LOUISIANA,LA,1240.0,868.0,414.0,289.8,0.0,0.0,1654.0,1157.8,1157.8,1324820.0,64,16169.04,33580,50906.84,50906.840000000004
2,2004,LOUISIANA,LA,1529.0,1070.3000000000002,33.0,23.1,49.0,34.3,1611.0,1127.7,1093.4,1258616.0,64,15904.224,33580,50611.92,50577.624
3,2006,LOUISIANA,LA,259.0,181.3,0.0,0.0,0.0,0.0,259.0,181.3,181.3,916015.0,64,14533.82,33580,48295.12,48295.12
4,2008,LOUISIANA,LA,2149.0,1504.3,96.0,67.2,38.0,26.6,2283.0,1598.1,1571.5,1046178.0,64,15054.472000000002,33580,50232.57,50205.972
5,2010,LOUISIANA,LA,121.0,84.7,40.0,28.0,0.0,0.0,161.0,112.7,112.7,1035948.0,64,15013.552,33580,48706.25,48706.25199999999
6,2012,LOUISIANA,LA,110.0,77.0,0.0,0.0,41.0,28.7,151.0,105.7,77.0,1705617.0,64,17692.228,33580,51377.93,51349.228
7,2014,LOUISIANA,LA,104.0,72.8,179.0,125.3,0.0,0.0,283.0,198.1,198.1,1568722.0,64,17144.648,33580,50922.75,50922.748
8,2016,LOUISIANA,LA,136.0,95.2,79.0,55.3,36.0,25.2,251.0,175.7,150.5,1749021.0,64,17865.844,33580,51621.54,51596.344
9,2018,LOUISIANA,LA,100.0,70.0,0.0,0.0,0.0,0.0,100.0,70.0,70.0,1460593.0,64,16712.132,33580,50362.13,50362.132
10,2020,LOUISIANA,LA,112.0,78.4,18.0,12.6,38.0,26.6,168.0,117.6,91.0,2147135.0,64,19458.300000000003,33580,53155.9,53129.3
11,2022,LOUISIANA,LA,74.0,51.8,17.0,11.9,0.0,0.0,91.0,63.699999999999996,63.699999999999996,1133125.0,64,15402.26,33580,49045.96,49045.96
12,2024,LOUISIANA,LA,129.0,90.3,0.0,0.0,32.0,22.4,161.0,112.69999999999999,90.3,1975375.0,64,18771.260000000002,33580,52463.96,52441.560000000005
