,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,MASSACHUSETTS,MA,77.0,40.42,11.0,5.78,26.0,13.65,114.0,59.85,46.2,2733972.0,14,13313.648000000001,33580,46953.5,46939.848
1,2002,MASSACHUSETTS,MA,86.0,45.16,8.0,4.2,0.0,0.0,94.0,49.36,49.36,2220326.0,14,11259.064,33580,44888.42,44888.424
2,2004,MASSACHUSETTS,MA,139.0,72.97,0.0,0.0,28.0,14.7,167.0,87.67,72.97,2927455.0,14,14087.58,33580,47755.25,47740.55
3,2006,MASSACHUSETTS,MA,75.0,39.36,19.0,9.98,0.0,0.0,94.0,49.34,49.34,2243835.0,14,11353.1,33580,44982.44,44982.439999999995
4,2008,MASSACHUSETTS,MA,65.0,34.12,20.0,10.5,28.0,14.7,113.0,59.31999999999999,44.62,3102995.0,14,14789.74,33580,48429.06,48414.36
5,2010,MASSACHUSETTS,MA,486.0,255.14,0.0,0.0,0.0,0.0,486.0,255.14,255.14,2224255.0,14,11274.78,33580,45109.92,45109.92
6,2012,MASSACHUSETTS,MA,817.0,428.94,94.0,49.35,31.0,16.27,942.0,494.56,478.29,3184196.0,14,15114.544,33580,49189.1,49172.834
7,2014,MASSACHUSETTS,MA,148.0,77.71000000000001,31.0,16.27,0.0,0.0,179.0,93.98,93.98,2186789.0,14,11124.916000000001,33580,44798.9,44798.896
8,2016,MASSACHUSETTS,MA,130.0,68.25,0.0,0.0,27.0,14.18,157.0,82.43,68.25,3378801.0,14,15892.964,33580,49555.39,49541.214
9,2018,MASSACHUSETTS,MA,119.0,62.46,29.0,15.22,0.0,0.0,148.0,77.68,77.68,2485081.0,14,12318.084,33580,45975.76,45975.764
10,2020,MASSACHUSETTS,MA,159.0,83.49000000000001,22.0,11.55,22.0,11.55,203.0,106.59,95.04,3658005.0,14,17009.78,33580,50696.37,50684.82
11,2022,MASSACHUSETTS,MA,195.0,102.38,0.0,0.0,0.0,0.0,195.0,102.38,102.38,2511461.0,14,12423.604,33580,46105.98,46105.984
12,2024,MASSACHUSETTS,MA,159.0,83.48,36.0,18.9,29.0,15.22,224.0,117.6,102.38,3377853.0,14,15889.172,33580,49586.77,49571.551999999996
