,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,MARYLAND,MD,251.0,131.77,27.0,14.18,43.0,22.58,321.0,168.53000000000003,145.95000000000002,1926764.0,24,11783.216,33580,45531.75,45509.166
1,2002,MARYLAND,MD,355.0,186.39,0.0,0.0,0.0,0.0,355.0,186.39,186.39,1659113.0,24,10712.612000000001,33580,44479.0,44479.002
2,2004,MARYLAND,MD,138.0,72.46,23.0,12.08,54.0,28.35,215.0,112.88999999999999,84.53999999999999,2253520.0,24,13090.24,33580,46783.13,46754.78
3,2006,MARYLAND,MD,140.0,73.51,70.0,36.75,0.0,0.0,210.0,110.26,110.26,1701202.0,24,10880.968,33580,44571.23,44571.228
4,2008,MARYLAND,MD,996.0,522.91,0.0,0.0,28.0,14.7,1024.0,537.61,522.91,2497952.0,24,14067.968,33580,48185.58,48170.878000000004
5,2010,MARYLAND,MD,198.0,103.96,27.0,14.18,0.0,0.0,225.0,118.13999999999999,118.13999999999999,1825472.0,24,11378.047999999999,33580,45076.19,45076.187999999995
6,2012,MARYLAND,MD,160.0,83.99000000000001,23.0,12.08,27.0,14.18,210.0,110.25,96.07000000000001,2585514.0,24,14418.216,33580,48108.47,48094.286
7,2014,MARYLAND,MD,675.0,354.35,0.0,0.0,0.0,0.0,675.0,354.35,354.35,1703037.0,24,10888.308,33580,44822.66,44822.658
8,2016,MARYLAND,MD,187.0,98.18,28.0,14.7,27.0,14.18,242.0,127.06,112.88000000000001,2707745.0,24,14907.14,33580,48614.2,48600.02
9,2018,MARYLAND,MD,166.0,87.14,20.0,10.5,0.0,0.0,186.0,97.64,97.64,2286120.0,24,13220.64,33580,46898.28,46898.28
10,2020,MARYLAND,MD,168.0,88.2,0.0,0.0,22.0,11.55,190.0,99.75,88.2,2954170.0,24,15892.84,33580,49572.59,49561.03999999999
11,2022,MARYLAND,MD,263.0,138.08,23.0,12.08,0.0,0.0,286.0,150.16000000000003,150.16000000000003,1995728.0,24,12059.072,33580,45789.23,45789.232
12,2024,MARYLAND,MD,268.0,140.69,60.0,31.5,25.0,13.12,353.0,185.31,172.19,2938127.0,24,15828.668,33580,49593.98,49580.858
