,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,MAINE,ME,46.0,24.15,19.0,9.98,137.0,71.92,202.0,106.05,34.129999999999995,638399.0,16,5271.036,33580,38957.09,38885.166
1,2002,MAINE,ME,201.0,105.52,42.0,22.05,0.0,0.0,243.0,127.57,127.57,495294.0,16,4698.616,33580,38406.19,38406.186
2,2004,MAINE,ME,75.0,39.370000000000005,0.0,0.0,78.0,40.95,153.0,80.32000000000001,39.370000000000005,710176.0,16,5558.144,33580,39218.46,39177.514
3,2006,MAINE,ME,42.0,22.05,14.0,7.35,0.0,0.0,56.0,29.4,29.4,535915.0,16,4861.1,33580,38470.5,38470.5
4,2008,MAINE,ME,93.0,48.81999999999999,31.0,16.27,41.0,21.52,165.0,86.60999999999999,65.08999999999999,710101.0,16,5557.844,33580,39224.45,39202.933999999994
5,2010,MAINE,ME,121.0,63.52,0.0,0.0,0.0,0.0,121.0,63.52,63.52,564368.0,16,4974.912,33580,38618.43,38618.43199999999
6,2012,MAINE,ME,68.0,35.7,42.0,22.05,47.0,24.67,157.0,82.42,57.75,724623.0,16,5615.932000000001,33580,39278.35,39253.682
7,2014,MAINE,ME,157.0,82.41999999999999,20.0,10.5,0.0,0.0,177.0,92.91999999999999,92.91999999999999,616996.0,16,5185.424,33580,38858.34,38858.344
8,2016,MAINE,ME,117.0,61.42,0.0,0.0,245.0,128.62,362.0,190.04000000000002,61.42,771828.0,16,5804.752,33580,39574.79,39446.172
9,2018,MAINE,ME,611.0,320.78000000000003,29.0,15.22,0.0,0.0,640.0,336.00000000000006,336.00000000000006,623424.0,16,5211.136,33580,39127.14,39127.136
10,2020,MAINE,ME,146.0,76.64,83.0,43.58,79.0,41.47,308.0,161.69,120.22,828305.0,16,6030.66,33580,39772.35,39730.880000000005
11,2022,MAINE,ME,326.0,171.14,0.0,0.0,0.0,0.0,326.0,171.14,171.14,691464.0,16,5483.296,33580,39234.44,39234.436
12,2024,MAINE,ME,1433.0,752.3199999999999,41.0,21.52,105.0,55.12,1579.0,828.9599999999999,773.8399999999999,806892.0,16,5945.008,33580,40353.97,40298.848
