,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,MICHIGAN,MI,339.0,237.3,301.0,210.7,137.0,95.9,777.0,543.9,448.0,4069660.0,83,30375.36,33580,64499.26,64403.36
1,2002,MICHIGAN,MI,313.0,219.1,31.0,21.7,0.0,0.0,344.0,240.79999999999998,240.79999999999998,3055897.0,83,26320.308,33580,60141.11,60141.10800000001
2,2004,MICHIGAN,MI,342.0,239.4,0.0,0.0,205.0,143.5,547.0,382.9,239.4,4631329.0,83,32622.036,33580,66584.94,66441.43599999999
3,2006,MICHIGAN,MI,627.0,438.9,43.0,30.1,0.0,0.0,670.0,469.0,469.0,3646426.0,83,28682.424,33580,62731.42,62731.424
4,2008,MICHIGAN,MI,766.0,536.2,24.0,16.8,43.0,30.1,833.0,583.1,553.0,4810690.0,83,33339.479999999996,33580,67502.58,67472.48
5,2010,MICHIGAN,MI,826.0,578.2,0.0,0.0,0.0,0.0,826.0,578.2,578.2,3194901.0,83,26876.324,33580,61034.52,61034.524
6,2012,MICHIGAN,MI,1513.0,1059.1,31.0,21.7,74.0,51.8,1618.0,1132.6,1080.8,4574632.0,83,32395.248,33580,67107.85,67056.048
7,2014,MICHIGAN,MI,524.0,366.8,46.0,32.2,0.0,0.0,570.0,399.0,399.0,3089477.0,83,26454.628,33580,60433.63,60433.628
8,2016,MICHIGAN,MI,434.0,303.8,0.0,0.0,3139.0,2197.3,3573.0,2501.1000000000004,303.8,4670905.0,83,32780.34,33580,68861.44,66664.14
9,2018,MICHIGAN,MI,874.0,611.8,108.0,75.6,0.0,0.0,982.0,687.4,687.4,4154703.0,83,30715.532000000003,33580,64982.93,64982.93200000001
10,2020,MICHIGAN,MI,934.0,653.8000000000001,416.0,291.2,252.0,176.4,1602.0,1121.4,945.0,5423140.0,83,35789.28,33580,70490.68,70314.28
11,2022,MICHIGAN,MI,1901.0,1330.7,0.0,0.0,0.0,0.0,1901.0,1330.7,1330.7,4375537.0,83,31598.868000000002,33580,66509.57,66509.568
12,2024,MICHIGAN,MI,735.0,514.5,2334.0,1633.8,500.0,350.0,3569.0,2498.3,2148.3,5553169.0,83,36309.396,33580,72387.7,72037.69600000001
