,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,MINNESOTA,MN,7597.0,5317.900000000001,121.0,84.7,292.0,204.4,8010.0,5607.0,5402.6,2363738.0,87,24231.032,33580,63418.03,63213.632
1,2002,MINNESOTA,MN,224.0,156.79999999999998,320.0,224.0,0.0,0.0,544.0,380.79999999999995,380.79999999999995,2201638.0,87,23582.631999999998,33580,57543.43,57543.432
2,2004,MINNESOTA,MN,274.0,191.8,0.0,0.0,202.0,141.4,476.0,333.20000000000005,191.8,2721681.0,87,25662.804,33580,59576.0,59434.60400000001
3,2006,MINNESOTA,MN,362.0,253.4,35.0,24.5,0.0,0.0,397.0,277.9,277.9,2178974.0,87,23491.976000000002,33580,57349.88,57349.876000000004
4,2008,MINNESOTA,MN,469.0,328.3,1420.0,994.0,69.0,48.3,1958.0,1370.6,1322.3,2802614.0,87,25986.536,33580,60937.14,60888.836
5,2010,MINNESOTA,MN,774.0,541.8,0.0,0.0,0.0,0.0,774.0,541.8,541.8,2090701.0,87,23138.884,33580,57260.68,57260.684
6,2012,MINNESOTA,MN,904.0,632.8000000000001,21.0,14.7,91.0,63.7,1016.0,711.2000000000002,647.5000000000001,2813383.0,87,26029.612,33580,60320.81,60257.112
7,2014,MINNESOTA,MN,814.0,569.8,60.0,42.0,0.0,0.0,874.0,611.8,611.8,1963539.0,87,22630.236,33580,56822.04,56822.03600000001
8,2016,MINNESOTA,MN,2814.0,1969.8,0.0,0.0,461.0,322.7,3275.0,2292.5,1969.8,2860389.0,87,26217.636,33580,62090.14,61767.436
9,2018,MINNESOTA,MN,2297.0,1607.9,39.0,27.3,0.0,0.0,2336.0,1635.2,1635.2,2576996.0,87,25084.064,33580,60299.26,60299.263999999996
10,2020,MINNESOTA,MN,745.0,521.5,134.0,93.8,99.0,69.3,978.0,684.5999999999999,615.3,3193809.0,87,27551.316,33580,61815.92,61746.616
11,2022,MINNESOTA,MN,361.0,252.7,0.0,0.0,0.0,0.0,361.0,252.7,252.7,2495832.0,87,24759.408,33580,58592.11,58592.10799999999
12,2024,MINNESOTA,MN,260.0,182.0,45.0,31.5,167.0,116.9,472.0,330.4,213.5,3176011.0,87,27480.124,33580,61390.52,61273.623999999996
