,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,MISSOURI,MO,385.0,269.5,280.0,196.0,210.0,147.0,875.0,612.5,465.5,2325788.0,115,28834.752,33580,63027.25,62880.252
1,2002,MISSOURI,MO,186.0,130.2,4519.0,3163.3,0.0,0.0,4705.0,3293.5,3293.5,1853563.0,115,26945.852000000003,33580,63819.35,63819.352
2,2004,MISSOURI,MO,282.0,197.4,56.0,39.2,98.0,68.6,436.0,305.20000000000005,236.60000000000002,2667023.0,115,30199.692000000003,33580,64084.89,64016.292
3,2006,MISSOURI,MO,198.0,138.6,156.0,109.2,0.0,0.0,354.0,247.8,247.8,2097322.0,115,27920.888000000003,33580,61748.69,61748.68800000001
4,2008,MISSOURI,MO,451.0,315.7,0.0,0.0,5247.0,3672.9,5698.0,3988.6,315.7,2821484.0,115,30817.536,33580,68386.14,64713.236
5,2010,MISSOURI,MO,635.0,444.5,67.0,46.9,0.0,0.0,702.0,491.4,491.4,1920675.0,115,27214.300000000003,33580,61285.7,61285.700000000004
6,2012,MISSOURI,MO,184.0,128.8,33.0,23.1,75.0,52.5,292.0,204.4,151.9,2675900.0,115,30235.200000000004,33580,64019.6,63967.100000000006
7,2014,MISSOURI,MO,236.0,165.20000000000002,0.0,0.0,0.0,0.0,236.0,165.20000000000002,165.20000000000002,1426303.0,115,25236.812,33580,58982.01,58982.012
8,2016,MISSOURI,MO,167.0,116.9,1865.0,1305.5,38.0,26.6,2070.0,1449.0,1422.4,2750079.0,115,30531.916000000005,33580,65560.92,65534.316000000006
9,2018,MISSOURI,MO,314.0,219.8,150.0,105.0,0.0,0.0,464.0,324.8,324.8,2418413.0,115,29205.252,33580,63110.05,63110.052
10,2020,MISSOURI,MO,244.0,170.8,0.0,0.0,46.0,32.2,290.0,203.0,170.8,2973421.0,115,31425.284,33580,65208.28,65176.084
11,2022,MISSOURI,MO,190.0,133.0,53.0,37.1,0.0,0.0,243.0,170.1,170.1,2060089.0,115,27771.956000000002,33580,61522.06,61522.056000000004
12,2024,MISSOURI,MO,190.0,133.0,51.0,35.7,39.0,27.3,280.0,196.0,168.7,2929826.0,115,31250.904000000002,33580,65026.9,64999.604
