,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,MISSISSIPPI,MS,104.0,72.8,21.0,14.7,42.0,29.4,167.0,116.9,87.5,986139.0,82,17871.436,33580,51568.34,51538.936
1,2002,MISSISSIPPI,MS,110.0,77.0,9.0,6.3,0.0,0.0,119.0,83.3,83.3,677636.0,82,16637.424,33580,50300.72,50300.724
2,2004,MISSISSIPPI,MS,88.0,61.6,0.0,0.0,38.0,26.6,126.0,88.2,61.6,1116203.0,82,18391.692000000003,33580,52059.89,52033.292
3,2006,MISSISSIPPI,MS,70.0,49.0,26.0,18.2,0.0,0.0,96.0,67.2,67.2,600697.0,82,16329.668000000001,33580,49976.87,49976.868
4,2008,MISSISSIPPI,MS,129.0,90.3,31.0,21.7,54.0,37.8,214.0,149.8,112.0,1264747.0,82,18985.868000000002,33580,52715.67,52677.868
5,2010,MISSISSIPPI,MS,237.0,165.89999999999998,0.0,0.0,0.0,0.0,237.0,165.89999999999998,165.89999999999998,788549.0,82,17081.076,33580,50826.98,50826.976
6,2012,MISSISSIPPI,MS,82.0,57.4,43.0,30.1,61.0,42.7,186.0,130.2,87.5,1208175.0,82,18759.58,33580,52469.78,52427.08
7,2014,MISSISSIPPI,MS,69.0,48.3,32.0,22.4,0.0,0.0,101.0,70.69999999999999,70.69999999999999,626279.0,82,16431.996,33580,50082.7,50082.695999999996
8,2016,MISSISSIPPI,MS,76.0,53.2,0.0,0.0,40.0,28.0,116.0,81.2,53.2,1182273.0,82,18655.972,33580,52317.17,52289.172
9,2018,MISSISSIPPI,MS,82.0,57.400000000000006,58.0,40.6,0.0,0.0,140.0,98.0,98.0,938903.0,82,17682.492000000002,33580,51360.49,51360.492
10,2020,MISSISSIPPI,MS,72.0,50.4,86.0,60.2,43.0,30.1,201.0,140.7,110.6,1227846.0,82,18838.264000000003,33580,52558.96,52528.864
11,2022,MISSISSIPPI,MS,83.0,58.1,0.0,0.0,0.0,0.0,83.0,58.1,58.1,709100.0,82,16763.280000000002,33580,50401.38,50401.38
12,2024,MISSISSIPPI,MS,70.0,49.0,28.0,19.6,29.0,20.3,127.0,88.89999999999999,68.6,1211662.0,82,18773.528000000002,33580,52442.43,52422.128000000004
