,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,MONTANA,MT,135.0,70.88,212.0,111.3,28.0,14.7,375.0,196.88,182.18,410521.0,56,11153.124000000002,33580,44930.0,44915.304000000004
1,2002,MONTANA,MT,22.0,11.55,21.0,11.02,0.0,0.0,43.0,22.57,22.57,331321.0,56,10836.324,33580,44438.89,44438.894
2,2004,MONTANA,MT,23.0,12.08,0.0,0.0,35.0,18.38,58.0,30.46,12.08,444230.0,56,11287.960000000001,33580,44898.42,44880.04
3,2006,MONTANA,MT,36.0,18.9,205.0,107.62,0.0,0.0,241.0,126.52000000000001,126.52000000000001,406125.0,56,11135.54,33580,44842.06,44842.06
4,2008,MONTANA,MT,23.0,12.08,16.0,8.4,310.0,162.75,349.0,183.23,20.48,480900.0,56,11434.640000000001,33580,45197.87,45035.12
5,2010,MONTANA,MT,27.0,14.18,0.0,0.0,0.0,0.0,27.0,14.18,14.18,360341.0,56,10952.404,33580,44546.58,44546.584
6,2012,MONTANA,MT,68.0,35.7,69.0,36.22,52.0,27.3,189.0,99.22,71.92,479740.0,56,11430.0,33580,45109.22,45081.92
7,2014,MONTANA,MT,47.0,24.67,45.0,23.62,0.0,0.0,92.0,48.290000000000006,48.290000000000006,367963.0,56,10982.892000000002,33580,44611.18,44611.182
8,2016,MONTANA,MT,45.0,23.62,0.0,0.0,35.0,18.38,80.0,42.0,23.62,507831.0,56,11542.364000000001,33580,45164.36,45145.984000000004
9,2018,MONTANA,MT,149.0,78.22,109.0,57.22,0.0,0.0,258.0,135.44,135.44,504421.0,56,11528.724,33580,45244.16,45244.164000000004
10,2020,MONTANA,MT,55.0,28.88,70.0,36.75,43.0,22.58,168.0,88.21,65.63,601509.0,56,11917.076000000001,33580,45585.29,45562.706
11,2022,MONTANA,MT,247.0,129.67000000000002,0.0,0.0,0.0,0.0,247.0,129.67000000000002,129.67000000000002,463632.0,56,11365.568000000001,33580,45075.24,45075.238
12,2024,MONTANA,MT,116.0,60.9,99.0,51.97,36.0,18.9,251.0,131.77,112.87,583985.0,56,11846.980000000001,33580,45558.75,45539.850000000006
