,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,NORTH CAROLINA,NC,336.0,176.4,0.0,0.0,55.0,28.88,391.0,205.28,176.4,2779800.0,100,28103.2,33580,61888.48,61859.6
1,2002,NORTH CAROLINA,NC,389.0,204.2,98.0,51.45,0.0,0.0,487.0,255.64999999999998,255.64999999999998,2244149.0,100,25960.595999999998,33580,59796.25,59796.246
2,2004,NORTH CAROLINA,NC,408.0,214.17,219.0,114.98,57.0,29.92,684.0,359.07,329.15,3413071.0,100,30636.284,33580,64575.35,64545.434
3,2006,NORTH CAROLINA,NC,3846.0,2019.14,0.0,0.0,0.0,0.0,3846.0,2019.14,2019.14,1940808.0,100,24747.232,33580,60346.37,60346.372
4,2008,NORTH CAROLINA,NC,376.0,197.41,61.0,32.02,2129.0,1117.72,2566.0,1347.15,229.43,4215093.0,100,33844.372,33580,68771.52,67653.802
5,2010,NORTH CAROLINA,NC,1392.0,730.81,73.0,38.32,0.0,0.0,1465.0,769.13,769.13,2662549.0,100,27634.196,33580,61983.33,61983.325999999994
6,2012,NORTH CAROLINA,NC,4047.0,2124.68,0.0,0.0,343.0,180.08,4390.0,2304.7599999999998,2124.68,4384112.0,100,34520.448000000004,33580,70405.21,70225.128
7,2014,NORTH CAROLINA,NC,349.0,183.23,322.0,169.05,0.0,0.0,671.0,352.28,352.28,2807998.0,100,28215.992,33580,62148.27,62148.272
8,2016,NORTH CAROLINA,NC,440.0,230.98,330.0,173.25,192.0,100.8,962.0,505.03000000000003,404.23,4598458.0,100,35377.831999999995,33580,69462.86,69362.06199999999
9,2018,NORTH CAROLINA,NC,2345.0,1231.13,0.0,0.0,0.0,0.0,2345.0,1231.13,1231.13,3663326.0,100,31637.304,33580,66448.43,66448.43400000001
10,2020,NORTH CAROLINA,NC,514.0,269.85,505.0,265.12,520.0,273.0,1539.0,807.97,534.97,5325245.0,100,38284.979999999996,33580,72672.95,72399.95
11,2022,NORTH CAROLINA,NC,821.0,431.02,217.0,113.92,0.0,0.0,1038.0,544.9399999999999,544.9399999999999,3760753.0,100,32027.012000000002,33580,66151.95,66151.952
12,2024,NORTH CAROLINA,NC,823.0,432.05,0.0,0.0,219.0,114.98,1042.0,547.03,432.05,5613836.0,100,39439.344,33580,73566.37,73451.394
