,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,NORTH DAKOTA,ND,84.0,44.1,31.0,16.27,26.0,13.65,141.0,74.02000000000001,60.370000000000005,285658.0,53,10144.152,33580,43798.17,43784.522000000004
1,2002,NORTH DAKOTA,ND,146.0,76.65,0.0,0.0,0.0,0.0,146.0,76.65,76.65,231030.0,53,9925.640000000001,33580,43582.29,43582.29
2,2004,NORTH DAKOTA,ND,37.0,19.42,20.0,10.5,26.0,13.65,83.0,43.57,29.92,310814.0,53,10244.776,33580,43868.35,43854.695999999996
3,2006,NORTH DAKOTA,ND,23.0,12.08,18.0,9.45,0.0,0.0,41.0,21.53,21.53,217621.0,53,9872.004,33580,43473.53,43473.534
4,2008,NORTH DAKOTA,ND,30.0,15.75,0.0,0.0,82.0,43.05,112.0,58.8,15.75,313965.0,53,10257.380000000001,33580,43896.18,43853.130000000005
5,2010,NORTH DAKOTA,ND,0.0,0.0,14.0,7.35,0.0,0.0,14.0,7.35,7.35,236344.0,53,9946.896,33580,43534.25,43534.246
6,2012,NORTH DAKOTA,ND,54.0,28.35,766.0,402.15,36.0,18.9,856.0,449.4,430.5,316224.0,53,10266.416000000001,33580,44295.82,44276.916
7,2014,NORTH DAKOTA,ND,42.0,22.05,0.0,0.0,0.0,0.0,42.0,22.05,22.05,248670.0,53,9996.2,33580,43598.25,43598.25
8,2016,NORTH DAKOTA,ND,16.0,8.4,12.0,6.3,20.0,10.5,48.0,25.2,14.7,338459.0,53,10355.356,33580,43960.56,43950.056
9,2018,NORTH DAKOTA,ND,29.0,15.22,65.0,34.12,0.0,0.0,94.0,49.339999999999996,49.339999999999996,321532.0,53,10287.648000000001,33580,43916.99,43916.988
10,2020,NORTH DAKOTA,ND,17.0,8.92,0.0,0.0,21.0,11.02,38.0,19.939999999999998,8.92,355598.0,53,10423.912,33580,44023.85,44012.831999999995
11,2022,NORTH DAKOTA,ND,29.0,15.22,23.0,12.08,0.0,0.0,52.0,27.3,27.3,238586.0,53,9955.864000000001,33580,43563.16,43563.164000000004
12,2024,NORTH DAKOTA,ND,18.0,9.45,22.0,11.55,20.0,10.5,60.0,31.5,21.0,358832.0,53,10436.848,33580,44048.35,44037.848
