,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,NEBRASKA,NE,52.0,27.3,321.0,168.52,25.0,13.12,398.0,208.94000000000003,195.82000000000002,683071.0,93,18527.404000000002,33580,52316.34,52303.224
1,2002,NEBRASKA,NE,43.0,22.57,11.0,5.78,0.0,0.0,54.0,28.35,28.35,473814.0,93,17690.376,33580,51298.73,51298.726
2,2004,NEBRASKA,NE,101.0,53.02,0.0,0.0,22.0,11.55,123.0,64.57000000000001,53.02,764972.0,93,18855.008,33580,52499.58,52488.028
3,2006,NEBRASKA,NE,187.0,98.18,26.0,13.65,0.0,0.0,213.0,111.83000000000001,111.83000000000001,596087.0,93,18179.468,33580,51871.3,51871.298
4,2008,NEBRASKA,NE,217.0,113.92,41.0,21.52,47.0,24.67,305.0,160.11,135.44,775398.0,93,18896.712,33580,52636.82,52612.152
5,2010,NEBRASKA,NE,64.0,33.59,0.0,0.0,0.0,0.0,64.0,33.59,33.59,485546.0,93,17737.304,33580,51350.89,51350.894
6,2012,NEBRASKA,NE,327.0,171.68,46.0,24.15,33.0,17.32,406.0,213.15,195.83,772515.0,93,18885.18,33580,52678.33,52661.01
7,2014,NEBRASKA,NE,246.0,129.15,22.0,11.55,0.0,0.0,268.0,140.70000000000002,140.70000000000002,535530.0,93,17937.24,33580,51657.94,51657.94
8,2016,NEBRASKA,NE,609.0,319.73,0.0,0.0,28.0,14.7,637.0,334.43,319.73,788266.0,93,18948.184,33580,52862.61,52847.914000000004
9,2018,NEBRASKA,NE,398.0,208.95,46.0,24.15,0.0,0.0,444.0,233.1,233.1,696570.0,93,18581.4,33580,52394.5,52394.5
10,2020,NEBRASKA,NE,198.0,103.93999999999998,22.0,11.55,37.0,19.42,257.0,134.90999999999997,115.48999999999998,941298.0,93,19560.312,33580,53275.22,53255.802
11,2022,NEBRASKA,NE,290.0,152.25,0.0,0.0,0.0,0.0,290.0,152.25,152.25,663187.0,93,18447.868000000002,33580,52180.12,52180.118
12,2024,NEBRASKA,NE,436.0,228.9,107.0,56.18,34.0,17.85,577.0,302.93,285.08,934811.0,93,19534.364,33580,53417.29,53399.444
