,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,NEW HAMPSHIRE,NH,136.0,71.4,0.0,0.0,553.0,290.32,689.0,361.72,71.4,556049.0,10,3922.596,33580,37864.32,37573.996
1,2002,NEW HAMPSHIRE,NH,80.0,42.0,316.0,165.9,0.0,0.0,396.0,207.9,207.9,443443.0,10,3472.172,33580,37260.07,37260.072
2,2004,NEW HAMPSHIRE,NH,62.0,32.56,22.0,11.55,512.0,268.8,596.0,312.91,44.11,651566.0,10,4304.664000000001,33580,38197.57,37928.774000000005
3,2006,NEW HAMPSHIRE,NH,369.0,193.72,0.0,0.0,0.0,0.0,369.0,193.72,193.72,402669.0,10,3309.076,33580,37082.8,37082.796
4,2008,NEW HAMPSHIRE,NH,166.0,87.14,75.0,39.38,73.0,38.32,314.0,164.84,126.52000000000001,674548.0,10,4396.592000000001,33580,38141.43,38103.112
5,2010,NEW HAMPSHIRE,NH,528.0,277.2,32.0,16.8,0.0,0.0,560.0,294.0,294.0,449787.0,10,3497.548,33580,37371.55,37371.548
6,2012,NEW HAMPSHIRE,NH,328.0,172.2,0.0,0.0,126.0,66.15,454.0,238.35,172.2,682416.0,10,4428.064,33580,38246.41,38180.263999999996
7,2014,NEW HAMPSHIRE,NH,265.0,139.13,216.0,113.4,0.0,0.0,481.0,252.53,252.53,480920.0,10,3622.08,33580,37454.61,37454.61
8,2016,NEW HAMPSHIRE,NH,695.0,364.87,381.0,200.02,1905.0,1000.12,2981.0,1565.01,564.89,716493.0,10,4564.372,33580,39709.38,38709.262
9,2018,NEW HAMPSHIRE,NH,135.0,70.87,0.0,0.0,0.0,0.0,135.0,70.87,70.87,570744.0,10,3981.376,33580,37632.25,37632.24600000001
10,2020,NEW HAMPSHIRE,NH,207.0,108.67,39.0,20.47,96.0,50.4,342.0,179.54,129.14,787102.0,10,4846.808,33580,38606.35,38555.948
11,2022,NEW HAMPSHIRE,NH,147.0,77.18,78.0,40.95,0.0,0.0,225.0,118.13000000000001,118.13000000000001,617546.0,10,4168.584000000001,33580,37866.71,37866.714
12,2024,NEW HAMPSHIRE,NH,206.0,108.15,0.0,0.0,251.0,131.77,457.0,239.92000000000002,108.15,814011.0,10,4954.4439999999995,33580,38774.36,38642.594000000005
