,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,NEW JERSEY,NJ,570.0,399.0,233.0,163.1,45.0,31.5,848.0,593.6,562.1,2988233.0,21,15519.572,33580,49693.17,49661.672
1,2002,NEW JERSEY,NJ,273.0,191.1,67.0,46.9,0.0,0.0,340.0,238.0,238.0,2006059.0,21,11590.876,33580,45408.88,45408.876000000004
2,2004,NEW JERSEY,NJ,307.0,214.9,0.0,0.0,105.0,73.5,412.0,288.4,214.9,3284595.0,21,16705.02,33580,50573.42,50499.920000000006
3,2006,NEW JERSEY,NJ,751.0,525.6999999999999,73.0,51.1,0.0,0.0,824.0,576.8,576.8,2136840.0,21,12114.0,33580,46270.8,46270.8
4,2008,NEW JERSEY,NJ,513.0,359.1,48.0,33.6,45.0,31.5,606.0,424.20000000000005,392.70000000000005,3437980.0,21,17318.56,33580,51322.76,51291.259999999995
5,2010,NEW JERSEY,NJ,648.0,453.6,0.0,0.0,0.0,0.0,648.0,453.6,453.6,2121584.0,21,12052.975999999999,33580,46086.58,46086.575999999994
6,2012,NEW JERSEY,NJ,368.0,257.6,36.0,25.2,40.0,28.0,444.0,310.8,282.8,3281778.0,21,16693.752,33580,50584.55,50556.552
7,2014,NEW JERSEY,NJ,386.0,270.2,49.0,34.3,0.0,0.0,435.0,304.5,304.5,1821365.0,21,10852.1,33580,44736.6,44736.6
8,2016,NEW JERSEY,NJ,470.0,329.0,0.0,0.0,50.0,35.0,520.0,364.0,329.0,3463311.0,21,17419.884000000002,33580,51363.88,51328.884000000005
9,2018,NEW JERSEY,NJ,1035.0,724.5,60.0,42.0,0.0,0.0,1095.0,766.5,766.5,3098743.0,21,15961.612,33580,50308.11,50308.112
10,2020,NEW JERSEY,NJ,1160.0,812.0,43.0,30.1,44.0,30.8,1247.0,872.9,842.1,4432923.0,21,21298.332,33580,55751.23,55720.43199999999
11,2022,NEW JERSEY,NJ,658.0,460.6,0.0,0.0,0.0,0.0,658.0,460.6,460.6,2609716.0,21,14005.503999999999,33580,48046.1,48046.104
12,2024,NEW JERSEY,NJ,683.0,478.1,74.0,51.8,119.0,83.3,876.0,613.1999999999999,529.9,4188240.0,21,20319.6,33580,54512.8,54429.5
